Name,Ensembl ID,Biotype,Total exon reads,RPKM,TPM,CPM
rpl24,ENSDARG00000099104,protein_coding,89,51.7052799277,249.0178745712,154.2157758925
cep97,ENSDARG00000102407,protein_coding,6,2.2612748066,10.8905289162,10.3965691613
nfkbiz,ENSDARG00000102097,protein_coding,2,1.0167506156,4.8967741326,3.4655230538
CU651657.1,ENSDARG00000099319,protein_coding,0,0,0,0
eed,ENSDARG00000099640,protein_coding,0,0,0,0
hikeshi,ENSDARG00000104071,protein_coding,3,2.3608277855,11.369986164,5.1982845806
tmem39a,ENSDARG00000102746,protein_coding,5,1.6087929622,7.7481101471,8.6638076344
ildr1a,ENSDARG00000103929,protein_coding,1,0.3607174707,1.73725194,1.7327615269
si:zfos-1011f11.2,ENSDARG00000101073,protein_coding,0,0,0,0
gpa33a,ENSDARG00000100223,protein_coding,31,7.9261099395,38.1729497165,53.7156073334
FP067451.1,ENSDARG00000096573,antisense,0,0,0,0
f7l,ENSDARG00000100782,protein_coding,3,1.046332036,5.0392412546,5.1982845806
f7,ENSDARG00000034862,protein_coding,0,0,0,0
f7i,ENSDARG00000075827,protein_coding,0,0,0,0
f10,ENSDARG00000088581,protein_coding,24,8.8096015936,42.4279351688,41.5862766452
prozb,ENSDARG00000076900,protein_coding,0,0,0,0
pcid2,ENSDARG00000013802,protein_coding,0,0,0,0
cul4a,ENSDARG00000096578,protein_coding,3,1.3993350155,6.7393394225,5.1982845806
FO681286.1,ENSDARG00000109848,protein_coding,0,0,0,0
lamp1a,ENSDARG00000100181,protein_coding,4,3.3534036217,16.1503321057,6.9310461075
grtp1a,ENSDARG00000029936,protein_coding,13,7.5524566186,36.3733974093,22.5258998495
adprhl1,ENSDARG00000041589,protein_coding,0,0,0,0
dcun1d2b,ENSDARG00000041592,protein_coding,7,4.7058004483,22.6636124479,12.1293306882
tmco3,ENSDARG00000075108,protein_coding,0,0,0,0
tfdp1b,ENSDARG00000016304,protein_coding,0,0,0,0
grk1a,ENSDARG00000058803,protein_coding,30,7.4037794458,35.6573530588,51.9828458065
cenpe,ENSDARG00000063385,protein_coding,63,7.4462665967,35.8619754887,109.1639761936
gas6,ENSDARG00000007804,protein_coding,9,3.4163514712,16.4534953364,15.5948537419
pros1,ENSDARG00000068261,protein_coding,1,0.37378304,1.8001770476,1.7327615269
rasa3,ENSDARG00000063371,protein_coding,15,5.1882739171,24.9872536293,25.9914229032
tpp2,ENSDARG00000078751,protein_coding,37,6.738840302,32.454938672,64.1121764946
ENSDARG00000078878,ENSDARG00000078878,protein_coding,6,5.9582796492,28.6956793664,10.3965691613
zgc:92518,ENSDARG00000016343,protein_coding,0,0,0,0
ercc5,ENSDARG00000023678,protein_coding,13,3.8116235366,18.3571657107,22.5258998495
blzf1,ENSDARG00000011299,protein_coding,1,0.328840664,1.5837300045,1.7327615269
trmt10c,ENSDARG00000041575,protein_coding,0,0,0,0
txnl4b,ENSDARG00000058962,protein_coding,0,0,0,0
si:ch73-41e3.7,ENSDARG00000089799,protein_coding,0,0,0,0
mrpl16,ENSDARG00000075325,protein_coding,43,13.8045581097,66.4841525795,74.5087456559
mrpl39,ENSDARG00000041570,protein_coding,0,0,0,0
CU571081.1,ENSDARG00000113329,protein_coding,0,0,0,0
dre-mir-155,ENSDARG00000081781,miRNA,0,0,0,
jam2a,ENSDARG00000058996,protein_coding,0,0,0,0
atp5pf,ENSDARG00000014313,protein_coding,1,0.6491510902,3.1263775185,1.7327615269
appa,ENSDARG00000104279,protein_coding,396,65.153259123,313.7847069176,686.1735646454
cyyr1,ENSDARG00000103783,protein_coding,2,0.6837370089,3.2929468125,3.4655230538
adamts1,ENSDARG00000103519,protein_coding,0,0,0,0
adamts5,ENSDARG00000100307,protein_coding,5,1.7785909401,8.5658744377,8.6638076344
gart,ENSDARG00000101089,protein_coding,9,2.9107976832,14.0186969958,15.5948537419
n6amt1,ENSDARG00000115421,protein_coding,1,0.8636678008,4.1595117632,1.7327615269
CU611053.1,ENSDARG00000115673,rRNA,0,0,0,
CR450787.2,ENSDARG00000116514,rRNA,0,0,0,
CR450787.1,ENSDARG00000103469,processed_transcript,0,0,0,
CZQB01066256.1,ENSDARG00000117321,lincRNA,0,0,0,0
runx1,ENSDARG00000087646,protein_coding,0,0,0,0
dre-mir-459,ENSDARG00000080051,miRNA,0,0,0,
urp2,ENSDARG00000067781,protein_coding,0,0,0,0
clic6,ENSDARG00000099108,protein_coding,2,2.1760673502,10.4801611599,3.4655230538
atp1a1a.4,ENSDARG00000001870,protein_coding,352,78.8076102297,379.5454473295,609.9320574626
atp1a1a.1,ENSDARG00000002791,protein_coding,424,99.0478823744,477.0246517213,734.6908873981
atp1a1a.2,ENSDARG00000007739,protein_coding,10,3.0232285747,14.560175577,17.3276152688
atp1a1a.3,ENSDARG00000039131,protein_coding,29,8.8854418277,42.7931894316,50.2500842796
atp1a1a.5,ENSDARG00000040252,protein_coding,0,0,0,0
si:ch211-132g1.3,ENSDARG00000089477,protein_coding,12,3.8024348759,18.3129121882,20.7931383226
si:ch211-132g1.6,ENSDARG00000093102,protein_coding,0,0,0,0
si:ch211-132g1.4,ENSDARG00000095102,protein_coding,0,0,0,0
si:ch211-132g1.1,ENSDARG00000040250,protein_coding,0,0,0,0
si:ch211-132g1.7,ENSDARG00000075505,protein_coding,8,2.6463740412,12.745205905,13.8620922151
slc5a3a,ENSDARG00000010376,protein_coding,0,0,0,0
oxgr1a.1,ENSDARG00000033684,protein_coding,0,0,0,0
oxgr1a.3,ENSDARG00000040247,protein_coding,0,0,0,0
oxgr1a.2,ENSDARG00000078743,protein_coding,0,0,0,0
mbnl2,ENSDARG00000018460,protein_coding,93,16.0947719986,77.5140550519,161.1468220001
rap2ab,ENSDARG00000040246,protein_coding,0,0,0,0
kpnb3,ENSDARG00000040245,protein_coding,79,18.6417462293,89.7805413839,136.8881606237
CR352215.1,ENSDARG00000082290,snoRNA,0,0,0,
