Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 10/06/22
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: Trenbolone_DESeq_normData
Work Source: Trenbolone_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0045 BETA
Timestamp (Start Time): 06/26/2023 14:44.48
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 228
Total Run Time: 20 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMDL at 5th Percentile of Total Genes	BMDL at 10th Percentile of Total Genes	BMDU at 5th Percentile of Total Genes	BMDU at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	291	308	2	2	1	2	2	1	2	0	0	17	308	4577	0.3312	1.0	0.6212	0.0																																		0	0	0															0															0																							
R-DRE-168249	Innate Immune System	471	502	4	4	4	3	3	2	4	2	2	15	500	4385	0.75068	0.53195	0.69079	0.4	492459;100170660	colec11;gbp3	ENSDARG00000013266;ENSDARG00000003244		0.05898365	0.05898365	0.0533181	0.008012297648302977	0.060640021208926066	0.007662230904996469	0.029688399999999997	0.029688399999999997	0.0284636	0.0017321287711946907	0.03004648058470804	0.0016564500202875371	0.11753875	0.11753875	0.0998755	0.02497960770558656	0.12270274974513742	0.02388821915483522									0.0646492;0.0533181	0.0309132;0.0284636	0.135202;0.0998755	1	1	1	492459	ENSDARG00000013266	0.0646492	0.0646492		0.0309132	0.0309132		0.135202	0.135202		0.0646492	0.0309132	0.135202	1	100170660	ENSDARG00000003244	0.0533181	0.0533181		0.0284636	0.0284636		0.0998755	0.0998755		0.0533181	0.0284636	0.0998755	0						Linear,2(1)	1.7753933889982962	3.551011323928833	1.7555389404296875	1.7954723834991455	0.028237208390540697	1.7755056619644165	0.047879172	0.070088128	0.027287791999999998	0.032089007999999995	0.08291878000000003	0.15215871999999997	CONFLICT	0.5	0.5	0.0	
R-DRE-168256	Immune System	761	837	8	8	6	7	7	5	8	3	3	14	834	4051	0.67195	0.57463	1.0	0.36	550386;492459;100170660	dapp1;colec11;gbp3	ENSDARG00000039535;ENSDARG00000013266;ENSDARG00000003244		0.054342900000000006	0.0533181	0.0450614	0.009834029616083031	0.053635728654256386	0.010692083492726758	0.028452099999999998	0.0284636	0.0259795	0.0024668701039981655	0.028217928401082514	0.0026967123090623755	0.10441213333333332	0.0998755	0.0781589	0.02879087695613549	0.10267542184865928	0.031177872791260025									0.0450614;0.0646492;0.0533181	0.0259795;0.0309132;0.0284636	0.0781589;0.135202;0.0998755	1	2	1	492459	ENSDARG00000013266	0.0646492	0.0646492		0.0309132	0.0309132		0.135202	0.135202		0.0646492	0.0309132	0.135202	2	550386;100170660	ENSDARG00000039535;ENSDARG00000003244	0.049189750000000004	0.049189750000000004	0.005838368560222887	0.027221549999999997	0.027221549999999997	0.0017565239551455484	0.0890172	0.0890172	0.015355955124315736	0.0450614;0.0533181	0.0259795;0.0284636	0.0781589;0.0998755	0						Linear,3(1)	1.7430053409523527	5.231002330780029	1.6799910068511963	1.7954723834991455	0.058648839851934656	1.7555389404296875	0.04321464789371389	0.06547115210628611	0.025660573687545585	0.03124362631245441	0.07183218903410613	0.13699207763256055	DOWN	0.3333333333333333	0.6666666666666666	0.0	
R-DRE-1430728	Metabolism	1010	1029	15	12	8	11	11	11	15	5	5	12	1024	3861	0.87332	0.27605	0.37615	0.49	794081;563369;541431;436584;103909721	ucp3;cyp2r1;miga2;gcgb;fo904880.1	ENSDARG00000091209;ENSDARG00000056587;ENSDARG00000089357;ENSDARG00000040907;ENSDARG00000110366		0.019050522000000004	0.0049864	0.00366012	0.020301237198457136	0.018107914276043295	0.019606361166353118	0.011238732000000001	0.00256242	0.00216762	0.01217542178055939	0.010839116092757695	0.011891875643279011	0.032356682000000005	0.00970342	0.00618025	0.03390243189818719	0.030301562824962342	0.03237932689666331									0.0049864;0.00366012;0.00431549;0.0379502;0.0443404	0.00256242;0.00216762;0.00237892;0.0233317;0.025753	0.00970342;0.00618025;0.00782854;0.0617278;0.0763434	3	2	3	541431;436584;103909721	ENSDARG00000089357;ENSDARG00000040907;ENSDARG00000110366	0.028868696666666666	0.0379502	0.021502409916612453	0.01715454	0.0233317	0.012853205172671913	0.048633246666666664	0.0617278	0.036085620480387104	0.00431549;0.0379502;0.0443404	0.00237892;0.0233317;0.025753	0.00782854;0.0617278;0.0763434	2	794081;563369	ENSDARG00000091209;ENSDARG00000056587	0.004323260000000001	0.004323260000000001	9.378215817520892E-4	0.00236502	0.00236502	2.791657572124538E-4	0.007941835000000001	0.007941835000000001	0.002491257398273006	0.0049864;0.00366012	0.00256242;0.00216762	0.00970342;0.00618025	0						Linear,2(0.4);Poly 2,3(0.6)	2.2000196282715483	12.768682360649109	1.5408140420913696	5.858227252960205	1.8523025860496032	1.7337061166763306	0.0012557030099857591	0.03684534099001424	5.665042636235698E-4	0.021910959736376433	0.002639890207853726	0.06207347379214628	UP	0.6	0.4	0.0	
R-DRE-156580	Phase II - Conjugation of compounds	47	48	1	1	0	1	1	1	1	0	0	17	48	4837	0.84573	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-211859	Biological oxidations	111	112	5	4	3	4	4	4	5	2	2	15	110	4775	0.99375	0.056289	0.056289	1.79	563369;103909721	cyp2r1;fo904880.1	ENSDARG00000056587;ENSDARG00000110366		0.024000260000000002	0.024000260000000002	0.00366012	0.028765301848567477	0.01332058781979909	0.024481253944315953	0.01396031	0.01396031	0.00216762	0.016677382134861578	0.007768510763478841	0.014193601350659106	0.041261825	0.041261825	0.00618025	0.04961283915440892	0.022842103180723838	0.042223944689739897									0.00366012;0.0443404	0.00216762;0.025753	0.00618025;0.0763434	1	1	1	103909721	ENSDARG00000110366	0.0443404	0.0443404		0.025753	0.025753		0.0763434	0.0763434		0.0443404	0.025753	0.0763434	1	563369	ENSDARG00000056587	0.00366012	0.00366012		0.00216762	0.00216762		0.00618025	0.00618025		0.00366012	0.00216762	0.00618025	0						Linear,1(0.5);Poly 2,1(0.5)	3.186917699178484	7.591933369636536	1.7337061166763306	5.858227252960205	2.916476864613572	3.795966684818268	-0.015866414399999997	0.06386693439999999	-0.009153362400000002	0.037073982400000004	-0.027498062000000004	0.11002171200000001	CONFLICT	0.5	0.5	0.0	
R-DRE-9748784	Drug ADME	62	67	4	3	1	4	4	4	4	1	1	16	66	4819	0.97807	0.20891	0.20891	1.49	103909721	fo904880.1	ENSDARG00000110366		0.0443404	0.0443404	0.0443404		0.0443404		0.025753	0.025753	0.025753		0.025753		0.0763434	0.0763434	0.0763434		0.0763434										0.0443404	0.025753	0.0763434	1	0	1	103909721	ENSDARG00000110366	0.0443404	0.0443404		0.025753	0.025753		0.0763434	0.0763434		0.0443404	0.025753	0.0763434	0															0						Linear,1(1)	1.7337061166763306	1.7337061166763306	1.7337061166763306	1.7337061166763306	0.0	1.7337061166763306	0.0443404	0.0443404	0.025753	0.025753	0.0763434	0.0763434	UP	1.0	0.0	0.0	
R-DRE-9753281	Paracetamol ADME	25	27	2	2	0	2	2	2	2	0	0	17	27	4858	0.91024	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-15869	Metabolism of nucleotides	53	53	1	0	0	0	0	0	1	0	0	17	53	4832	0.83102	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-8956321	Nucleotide salvage	14	14	1	0	0	0	0	0	1	0	0	17	14	4871	0.95247	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	66	73	1	1	1	1	1	1	1	1	1	16	72	4813	0.97425	0.22546	0.22546	1.37	317638	igfbp1a	ENSDARG00000099351		1.83246E-4	1.83246E-4	1.83246E-4		1.83246E-4		2.99406E-5	2.99406E-5	2.99406E-5		2.99406E-5		0.00112153	0.00112153	0.00112153		0.00112153										1.83246E-4	2.99406E-5	0.00112153	1	0	1	317638	ENSDARG00000099351	1.83246E-4	1.83246E-4		2.99406E-5	2.99406E-5		0.00112153	0.00112153		1.83246E-4	2.99406E-5	0.00112153	0															0						Hill,1(1)	1.7615234851837158	1.7615234851837158	1.7615234851837158	1.7615234851837158	0.0	1.7615234851837158	1.83246E-4	1.83246E-4	2.99406E-5	2.99406E-5	0.00112153	0.00112153	UP	1.0	0.0	0.0	
