Name,Ensembl ID,Biotype,Total exon reads,RPKM,TPM,CPM
rpl24,ENSDARG00000099104,protein_coding,152,207.6111334202,207.6111334202,270.3765979351
cep97,ENSDARG00000102407,protein_coding,1,1.3658627199,1.3658627199,1.7787934075
nfkbiz,ENSDARG00000102097,protein_coding,1,1.3658627199,1.3658627199,1.7787934075
CU651657.1,ENSDARG00000099319,protein_coding,0,0,0,0
eed,ENSDARG00000099640,protein_coding,4,5.4634508795,5.4634508795,7.1151736299
hikeshi,ENSDARG00000104071,protein_coding,1,1.3658627199,1.3658627199,1.7787934075
tmem39a,ENSDARG00000102746,protein_coding,1,1.3658627199,1.3658627199,1.7787934075
ildr1a,ENSDARG00000103929,protein_coding,2,2.7317254397,2.7317254397,3.5575868149
si:zfos-1011f11.2,ENSDARG00000101073,protein_coding,0,0,0,0
gpa33a,ENSDARG00000100223,protein_coding,12,16.3903526384,16.3903526384,21.3455208896
FP067451.1,ENSDARG00000096573,antisense,0,0,0,0
f7l,ENSDARG00000100782,protein_coding,0,0,0,0
f7,ENSDARG00000034862,protein_coding,6,8.1951763192,8.1951763192,10.6727604448
f7i,ENSDARG00000075827,protein_coding,4,5.4634508795,5.4634508795,7.1151736299
f10,ENSDARG00000088581,protein_coding,17,23.2196662378,23.2196662378,30.239487927
prozb,ENSDARG00000076900,protein_coding,1,1.3658627199,1.3658627199,1.7787934075
pcid2,ENSDARG00000013802,protein_coding,1,1.3658627199,1.3658627199,1.7787934075
cul4a,ENSDARG00000096578,protein_coding,6,8.1951763192,8.1951763192,10.6727604448
FO681286.1,ENSDARG00000109848,protein_coding,0,0,0,0
lamp1a,ENSDARG00000100181,protein_coding,1,1.3658627199,1.3658627199,1.7787934075
grtp1a,ENSDARG00000029936,protein_coding,2,2.7317254397,2.7317254397,3.5575868149
adprhl1,ENSDARG00000041589,protein_coding,0,0,0,0
dcun1d2b,ENSDARG00000041592,protein_coding,8,10.926901759,10.926901759,14.2303472597
tmco3,ENSDARG00000075108,protein_coding,3,4.0975881596,4.0975881596,5.3363802224
tfdp1b,ENSDARG00000016304,protein_coding,2,2.7317254397,2.7317254397,3.5575868149
grk1a,ENSDARG00000058803,protein_coding,8,10.926901759,10.926901759,14.2303472597
cenpe,ENSDARG00000063385,protein_coding,14,19.1220780782,19.1220780782,24.9031077046
gas6,ENSDARG00000007804,protein_coding,4,5.4634508795,5.4634508795,7.1151736299
pros1,ENSDARG00000068261,protein_coding,7,9.5610390391,9.5610390391,12.4515538523
rasa3,ENSDARG00000063371,protein_coding,4,5.4634508795,5.4634508795,7.1151736299
tpp2,ENSDARG00000078751,protein_coding,7,9.5610390391,9.5610390391,12.4515538523
ENSDARG00000078878,ENSDARG00000078878,protein_coding,3,4.0975881596,4.0975881596,5.3363802224
zgc:92518,ENSDARG00000016343,protein_coding,5,6.8293135993,6.8293135993,8.8939670373
ercc5,ENSDARG00000023678,protein_coding,6,8.1951763192,8.1951763192,10.6727604448
blzf1,ENSDARG00000011299,protein_coding,6,8.1951763192,8.1951763192,10.6727604448
trmt10c,ENSDARG00000041575,protein_coding,5,6.8293135993,6.8293135993,8.8939670373
txnl4b,ENSDARG00000058962,protein_coding,3,4.0975881596,4.0975881596,5.3363802224
si:ch73-41e3.7,ENSDARG00000089799,protein_coding,0,0,0,0
mrpl16,ENSDARG00000075325,protein_coding,14,19.1220780782,19.1220780782,24.9031077046
mrpl39,ENSDARG00000041570,protein_coding,3,4.0975881596,4.0975881596,5.3363802224
CU571081.1,ENSDARG00000113329,protein_coding,0,0,0,0
dre-mir-155,ENSDARG00000081781,miRNA,0,0,0,
jam2a,ENSDARG00000058996,protein_coding,3,4.0975881596,4.0975881596,5.3363802224
atp5pf,ENSDARG00000014313,protein_coding,31,42.341744316,42.341744316,55.1425956315
appa,ENSDARG00000104279,protein_coding,112,152.9766246254,152.9766246254,199.2248616364
cyyr1,ENSDARG00000103783,protein_coding,3,4.0975881596,4.0975881596,5.3363802224
adamts1,ENSDARG00000103519,protein_coding,2,2.7317254397,2.7317254397,3.5575868149
adamts5,ENSDARG00000100307,protein_coding,1,1.3658627199,1.3658627199,1.7787934075
gart,ENSDARG00000101089,protein_coding,4,5.4634508795,5.4634508795,7.1151736299
n6amt1,ENSDARG00000115421,protein_coding,1,1.3658627199,1.3658627199,1.7787934075
CU611053.1,ENSDARG00000115673,rRNA,0,0,0,
CR450787.2,ENSDARG00000116514,rRNA,0,0,0,
CR450787.1,ENSDARG00000103469,processed_transcript,0,0,0,
CZQB01066256.1,ENSDARG00000117321,lincRNA,1,1.3658627199,1.3658627199,1.7787934075
runx1,ENSDARG00000087646,protein_coding,1,1.3658627199,1.3658627199,1.7787934075
dre-mir-459,ENSDARG00000080051,miRNA,0,0,0,
