Gene Ontology Analyses
GO Category: ALL
GO File Creation Date: 10/06/22
Deduplicate Gene Sets: false
Data Source: Analine_DESeq_normData
Work Source: Analine_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0045 BETA
Timestamp (Start Time): 06/26/2023 14:40.28
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 3891
Total Run Time: 4 seconds

GO/Pathway/Gene Set/Gene ID	GO Level	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMDL at 5th Percentile of Total Genes	BMDL at 10th Percentile of Total Genes	BMDU at 5th Percentile of Total Genes	BMDU at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
all	0	all	16332	19076	650	476	111	526	526	478	650	80	80	0	18996	0	1.0	1.0	1.0	0.42	103909302;100884131;100333685;100329456;100270764;100149419;100141481;100136861;100126123;100038765;100006523;100002038;799904;799827;799320;799085;798846;797480;795414;795372;794317;794188;793907;793584;792922;791518;678514;664753;569756;569518;567916;567780;567242;567159;565669;564970;564644;564573;564249;562682;562460;561905;560912;560719;560210;559768;558856;557642;557459;556515;553940;553552;553211;550363;541379;541344;503741;492482;447871;447856;445484;436651;431765;415223;415152;406452;393175;393136;386968;327586;326672;325875;322854;322614;321065;114367;64265;64263;30725;30671	opn8c;opn4b;cd302;igsf10;cd40;si:dkey-69o16.5;ccl39.3;cishb;hsp70.1;dkk3b;fthl28;tnnc2;si:ch73-359m17.2;zmp:0000001316;znf365;abhd6a;hspa1b;mrtfaa;relb;gpr45;zgc:175107;slc22a7a;igfbp1b;gal3st1b;si:ch211-160j14.2;hmox1a;zgc:136472;trim55b;kctd16b;ankrd33ab;stxbp4;kcnv2b;cnga3a;tnfaip2a;plcd4a;slc2a11b;nsmce2;myo3b;lyve1b;si:dkey-251i10.2;ppp2r5a;mlpha;si:dkey-92j12.5;si:dkey-206f10.1;hsp70l;fthl30;sec22c;slc4a10b;igsf9a;crip3;pcdh1gb9;fthl31;st8sia4;ms4a17a.11;cog8;prdx1;zgc:113337;eif4ebp3;tmem14cb;utp3;yipf1;fthl27;nfil3-6;trim63a;gyg1b;sqstm1;erap1b;cpne3;calcoco1b;mep1b;ets2;dgat1a;anapc5;arg2;tbc1d4;nots;aox5;gch2;chrna1;hsp70.3	ENSDARG00000043479;ENSDARG00000053929;ENSDARG00000086100;ENSDARG00000077497;ENSDARG00000054968;ENSDARG00000070057;ENSDARG00000100295;ENSDARG00000016773;ENSDARG00000092362;ENSDARG00000070683;ENSDARG00000076221;ENSDARG00000095002;ENSDARG00000102119;ENSDARG00000092407;ENSDARG00000087985;ENSDARG00000060756;ENSDARG00000056210;ENSDARG00000075867;ENSDARG00000086173;ENSDARG00000063357;ENSDARG00000075417;ENSDARG00000056028;ENSDARG00000038666;ENSDARG00000078245;ENSDARG00000073961;ENSDARG00000027529;ENSDARG00000058445;ENSDARG00000058158;ENSDARG00000020102;ENSDARG00000002508;ENSDARG00000076997;ENSDARG00000062906;ENSDARG00000070726;ENSDARG00000043416;ENSDARG00000057975;ENSDARG00000063288;ENSDARG00000076379;ENSDARG00000006892;ENSDARG00000062483;ENSDARG00000093957;ENSDARG00000027017;ENSDARG00000070991;ENSDARG00000094677;ENSDARG00000032838;ENSDARG00000055723;ENSDARG00000077360;ENSDARG00000063387;ENSDARG00000060303;ENSDARG00000075864;ENSDARG00000043395;ENSDARG00000088475;ENSDARG00000094210;ENSDARG00000103600;ENSDARG00000094809;ENSDARG00000002798;ENSDARG00000058734;ENSDARG00000041998;ENSDARG00000054916;ENSDARG00000114991;ENSDARG00000056720;ENSDARG00000014474;ENSDARG00000031776;ENSDARG00000087188;ENSDARG00000028027;ENSDARG00000059391;ENSDARG00000075014;ENSDARG00000021859;ENSDARG00000104177;ENSDARG00000016391;ENSDARG00000040683;ENSDARG00000103980;ENSDARG00000103503;ENSDARG00000008461;ENSDARG00000039269;ENSDARG00000075156;ENSDARG00000099824;ENSDARG00000071475;ENSDARG00000099101;ENSDARG00000009021;ENSDARG00000021924		1.9614002499999998	0.8118464999999999	0.265897	1.8999232653421478	2.0053734667524936	1.769658455442227	1.0385475375	0.239212	0.16346	1.0626606060112402	1.0970680689887742	1.0541609292194094	3.9879304125000012	2.81685	0.432532	3.7655102939909124	3.9334347659073106	3.14346125412321									0.639581;0.356821;0.698294;0.813843;0.68336;0.713013;2.69886;0.550441;4.91684;5.72801;3.619;0.557826;0.277544;0.665423;0.390378;3.63752;3.69981;0.52222;3.91648;0.722795;0.389047;3.46209;4.66684;8.83262;0.759482;3.86685;0.676198;0.841448;0.695338;1.10189;2.5414;3.83672;3.8451;0.592826;1.03076;2.40519;0.315718;4.32879;0.861495;3.69238;0.614859;0.403024;3.25218;4.25123;0.658254;2.96773;4.57436;0.71503;0.563781;0.398489;0.9787;3.62037;0.533331;0.608325;0.490604;4.0996;0.80985;0.879965;3.39862;0.417382;0.529022;4.55491;2.46186;0.863081;0.52684;0.741721;0.304355;0.541544;0.692853;0.646888;0.265897;5.9475;0.3406;0.772573;0.835104;7.13034;2.59719;2.71756;0.726727;4.92953	0.242428;0.196915;0.239383;0.23307;0.239014;0.243017;1.78858;0.232822;2.69624;2.90749;2.23086;0.235702;0.16844;0.237265;0.205357;2.23684;2.26292;0.230045;2.35243;0.237064;0.205848;2.16271;2.61957;3.28499;0.239041;2.33241;0.242553;0.233354;0.241878;0.195669;1.70696;2.32054;2.32399;0.236522;0.210979;1.63163;0.183152;2.50486;0.230128;2.26143;0.241507;0.208089;2.06692;2.4786;0.243737;1.92986;2.5895;0.238459;0.236471;0.208134;0.214873;2.23128;0.23114;0.237222;0.228082;2.42279;0.234914;0.230395;2.13095;0.212255;0.231011;2.58327;1.66317;0.230496;0.230891;0.238029;0.17881;0.232352;0.23966;0.241802;0.16346;2.95618;0.191621;0.23649;0.23388;3.15493;1.7375;1.80176;0.238977;2.70024	1.68737;0.646577;2.03696;2.8418;1.95378;2.09198;4.07241;1.30136;8.96633;11.2847;5.8709;1.32018;0.457317;1.86621;0.742101;5.91527;6.04908;1.18548;6.5204;2.20376;0.735288;5.54214;8.31412;23.749;2.41303;6.41076;1.88513;3.03417;1.99893;6.20525;3.78375;6.34354;6.36181;1.48588;5.03587;3.54549;0.544234;7.48085;3.22504;6.02877;1.56539;0.780573;5.11709;7.29158;1.77773;4.56376;8.08063;2.14405;1.34414;0.76294;4.45776;5.87425;1.23061;1.55997;1.05529;6.93694;2.7919;3.36092;5.42041;0.820748;1.21148;8.03137;3.64412;3.23176;1.20213;2.31128;0.518045;1.26218;2.00302;1.73061;0.432532;11.9657;0.605408;2.52386;2.98186;16.115;3.88226;4.09885;2.20997;8.9993	27	53	27	100141481;100126123;100006523;799904;798846;795414;794317;794188;793907;791518;569518;564970;564644;562682;560210;559768;558856;556515;553552;541379;541344;447871;436651;326672;64265;64263;30671	ENSDARG00000100295;ENSDARG00000092362;ENSDARG00000076221;ENSDARG00000102119;ENSDARG00000056210;ENSDARG00000086173;ENSDARG00000075417;ENSDARG00000056028;ENSDARG00000038666;ENSDARG00000027529;ENSDARG00000002508;ENSDARG00000063288;ENSDARG00000076379;ENSDARG00000093957;ENSDARG00000055723;ENSDARG00000077360;ENSDARG00000063387;ENSDARG00000043395;ENSDARG00000094210;ENSDARG00000002798;ENSDARG00000058734;ENSDARG00000114991;ENSDARG00000031776;ENSDARG00000103980;ENSDARG00000071475;ENSDARG00000099101;ENSDARG00000021924	2.7519130740740736	3.39862	1.6416333563501257	1.631942666666667	2.13095	0.9868733209673634	4.784398185185186	5.54214	2.7904790873275616	2.69886;4.91684;3.619;0.277544;3.69981;3.91648;0.389047;3.46209;4.66684;3.86685;1.10189;2.40519;0.315718;3.69238;0.658254;2.96773;4.57436;0.398489;3.62037;0.490604;4.0996;3.39862;4.55491;0.265897;2.59719;2.71756;4.92953	1.78858;2.69624;2.23086;0.16844;2.26292;2.35243;0.205848;2.16271;2.61957;2.33241;0.195669;1.63163;0.183152;2.26143;0.243737;1.92986;2.5895;0.208134;2.23128;0.228082;2.42279;2.13095;2.58327;0.16346;1.7375;1.80176;2.70024	4.07241;8.96633;5.8709;0.457317;6.04908;6.5204;0.735288;5.54214;8.31412;6.41076;6.20525;3.54549;0.544234;6.02877;1.77773;4.56376;8.08063;0.76294;5.87425;1.05529;6.93694;5.42041;8.03137;0.432532;3.88226;4.09885;8.9993	53	103909302;100884131;100333685;100329456;100270764;100149419;100136861;100038765;100002038;799827;799320;799085;797480;795372;793584;792922;678514;664753;569756;567916;567780;567242;567159;565669;564573;564249;562460;561905;560912;560719;557642;557459;553940;553211;550363;503741;492482;447856;445484;431765;415223;415152;406452;393175;393136;386968;327586;325875;322854;322614;321065;114367;30725	ENSDARG00000043479;ENSDARG00000053929;ENSDARG00000086100;ENSDARG00000077497;ENSDARG00000054968;ENSDARG00000070057;ENSDARG00000016773;ENSDARG00000070683;ENSDARG00000095002;ENSDARG00000092407;ENSDARG00000087985;ENSDARG00000060756;ENSDARG00000075867;ENSDARG00000063357;ENSDARG00000078245;ENSDARG00000073961;ENSDARG00000058445;ENSDARG00000058158;ENSDARG00000020102;ENSDARG00000076997;ENSDARG00000062906;ENSDARG00000070726;ENSDARG00000043416;ENSDARG00000057975;ENSDARG00000006892;ENSDARG00000062483;ENSDARG00000027017;ENSDARG00000070991;ENSDARG00000094677;ENSDARG00000032838;ENSDARG00000060303;ENSDARG00000075864;ENSDARG00000088475;ENSDARG00000103600;ENSDARG00000094809;ENSDARG00000041998;ENSDARG00000054916;ENSDARG00000056720;ENSDARG00000014474;ENSDARG00000087188;ENSDARG00000028027;ENSDARG00000059391;ENSDARG00000075014;ENSDARG00000021859;ENSDARG00000104177;ENSDARG00000016391;ENSDARG00000040683;ENSDARG00000103503;ENSDARG00000008461;ENSDARG00000039269;ENSDARG00000075156;ENSDARG00000099824;ENSDARG00000009021	1.558686169811321	0.71503	1.9096412829740554	0.7362519056603772	0.237222	0.9760418924170657	3.582182679245283	2.14405	4.141341855027768	0.639581;0.356821;0.698294;0.813843;0.68336;0.713013;0.550441;5.72801;0.557826;0.665423;0.390378;3.63752;0.52222;0.722795;8.83262;0.759482;0.676198;0.841448;0.695338;2.5414;3.83672;3.8451;0.592826;1.03076;4.32879;0.861495;0.614859;0.403024;3.25218;4.25123;0.71503;0.563781;0.9787;0.533331;0.608325;0.80985;0.879965;0.417382;0.529022;2.46186;0.863081;0.52684;0.741721;0.304355;0.541544;0.692853;0.646888;5.9475;0.3406;0.772573;0.835104;7.13034;0.726727	0.242428;0.196915;0.239383;0.23307;0.239014;0.243017;0.232822;2.90749;0.235702;0.237265;0.205357;2.23684;0.230045;0.237064;3.28499;0.239041;0.242553;0.233354;0.241878;1.70696;2.32054;2.32399;0.236522;0.210979;2.50486;0.230128;0.241507;0.208089;2.06692;2.4786;0.238459;0.236471;0.214873;0.23114;0.237222;0.234914;0.230395;0.212255;0.231011;1.66317;0.230496;0.230891;0.238029;0.17881;0.232352;0.23966;0.241802;2.95618;0.191621;0.23649;0.23388;3.15493;0.238977	1.68737;0.646577;2.03696;2.8418;1.95378;2.09198;1.30136;11.2847;1.32018;1.86621;0.742101;5.91527;1.18548;2.20376;23.749;2.41303;1.88513;3.03417;1.99893;3.78375;6.34354;6.36181;1.48588;5.03587;7.48085;3.22504;1.56539;0.780573;5.11709;7.29158;2.14405;1.34414;4.45776;1.23061;1.55997;2.7919;3.36092;0.820748;1.21148;3.64412;3.23176;1.20213;2.31128;0.518045;1.26218;2.00302;1.73061;11.9657;0.605408;2.52386;2.98186;16.115;2.20997	0						Linear,31(0.39);Poly 2,49(0.62)	2.238655968342133	194.11246383190155	1.5062884092330933	7.905994892120361	1.2305615856766734	2.003846764564514	1.5450612078128358	2.3777392921871643	0.8056817649988789	1.2714133100011207	3.1627765877407876	4.813084237259211	DOWN	0.3375	0.6625	0.0	
GO:0000003	2	reproduction	5	5	1	1	0	1	1	1	1	0	0	80	5	18991	0.9792	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000018	7	regulation of DNA recombination	25	38	3	3	3	2	2	2	3	2	2	78	36	18960	0.99946	0.011073	0.011073	5.26	100270764;799320	cd40;znf365	ENSDARG00000054968;ENSDARG00000087985		0.536869	0.536869	0.390378	0.20716955896559666	0.4882637480859086	0.1954335824128887	0.2221855	0.2221855	0.205357	0.02379909293439577	0.21660185676023586	0.02245089487842507	1.3479405	1.3479405	0.742101	0.8567864375213352	1.146924864111057	0.8082502259676934	0.5	0.536869			0.2221855		1.3479405		0.68336;0.390378	0.239014;0.205357	1.95378;0.742101	0	2	0															2	100270764;799320	ENSDARG00000054968;ENSDARG00000087985	0.536869	0.536869	0.20716955896559666	0.2221855	0.2221855	0.02379909293439577	1.3479405	1.3479405	0.8567864375213352	0.68336;0.390378	0.239014;0.205357	1.95378;0.742101	0						Poly 2,2(1)	3.4115747331774795	7.019702672958374	2.6851003170013428	4.334602355957031	1.166374077326604	3.509851336479187	0.24974664000000008	0.82399136	0.18920164	0.25516936	0.16049508	2.53538592	DOWN	0.0	1.0	0.0	
GO:0000026	7	alpha-1,2-mannosyltransferase activity	4	4	1	1	0	1	1	1	1	0	0	80	4	18992	0.98333	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000028	8	ribosomal small subunit assembly	14	14	1	1	0	1	1	1	1	0	0	80	14	18982	0.94284	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000030	6	mannosyltransferase activity	20	20	2	2	0	2	2	2	2	0	0	80	20	18976	0.91935	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000038	7	very long-chain fatty acid metabolic process	27	28	1	1	0	1	1	1	1	0	0	80	28	18968	0.88891	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000041	8	transition metal ion transport	61	70	7	4	4	4	4	4	7	4	4	76	66	18930	0.99999	2.1309E-4	2.1309E-4	5.71	100006523;559768;553552;436651	fthl28;fthl30;fthl31;fthl27	ENSDARG00000076221;ENSDARG00000077360;ENSDARG00000094210;ENSDARG00000031776		3.6905025	3.619685	2.96773	0.6531032557145927	3.666045162248328	0.6306423704375506	2.2438175	2.23107	1.92986	0.2671593764497152	2.2346934141270802	0.2586092773092826	6.08507	5.872574999999999	4.56376	1.4367534777407012	6.028309852196333	1.3853799318544102	2.5	4.0876399999999995			2.4072750000000003		6.95281		3.619;2.96773;3.62037;4.55491	2.23086;1.92986;2.23128;2.58327	5.8709;4.56376;5.87425;8.03137	4	0	4	100006523;559768;553552;436651	ENSDARG00000076221;ENSDARG00000077360;ENSDARG00000094210;ENSDARG00000031776	3.6905025	3.619685	0.6531032557145927	2.2438175	2.23107	0.2671593764497152	6.08507	5.872574999999999	1.4367534777407012	3.619;2.96773;3.62037;4.55491	2.23086;1.92986;2.23128;2.58327	5.8709;4.56376;5.87425;8.03137	0															0						Linear,4(1)	4.9151243994740375	22.771864533424377	1.71648371219635	7.905994892120361	2.7509656046499504	6.574692964553833	3.0504613093997	4.3305436906003	1.98200131107928	2.50563368892072	4.677051591814114	7.493088408185888	UP	1.0	0.0	0.0	
GO:0000050	6	urea cycle	5	6	2	2	1	2	2	2	2	1	1	79	5	18991	0.99974	0.024903	0.024903	16.67	322614	arg2	ENSDARG00000039269		0.772573	0.772573	0.772573		0.772573		0.23649	0.23649	0.23649		0.23649000000000003		2.52386	2.52386	2.52386		2.52386		0.0	0.772573	0.0	0.772573	0.23649	0.23649	2.52386	2.52386	0.772573	0.23649	2.52386	0	1	0															1	322614	ENSDARG00000039269	0.772573	0.772573		0.23649	0.23649		2.52386	2.52386		0.772573	0.23649	2.52386	0						Poly 2,1(1)	1.9719352722167969	1.9719352722167969	1.9719352722167969	1.9719352722167969	0.0	1.9719352722167969	0.772573	0.772573	0.23649	0.23649	2.52386	2.52386	DOWN	0.0	1.0	0.0	
GO:0000052	8	citrulline metabolic process	3	3	1	1	0	1	1	1	1	0	0	80	3	18993	0.98747	1.0	1.0	0.0																																		0	0	0															0															0																							
