Name,Ensembl ID,Biotype,Total exon reads,RPKM,TPM,CPM
rpl24,ENSDARG00000099104,protein_coding,147,31.9971514717,207.2429555132,119.9048808376
cep97,ENSDARG00000102407,protein_coding,3,0.4236160867,2.7437270435,2.4470383844
nfkbiz,ENSDARG00000102097,protein_coding,6,1.1428383202,7.4020711301,4.8940767689
CU651657.1,ENSDARG00000099319,protein_coding,0,0,0,0
eed,ENSDARG00000099640,protein_coding,5,1.0588408867,6.8580265646,4.0783973074
hikeshi,ENSDARG00000104071,protein_coding,13,3.8329707131,24.8258405026,10.6038329992
tmem39a,ENSDARG00000102746,protein_coding,4,0.4822133617,3.1232568424,3.2627178459
ildr1a,ENSDARG00000103929,protein_coding,0,0,0,0
si:zfos-1011f11.2,ENSDARG00000101073,protein_coding,0,0,0,0
gpa33a,ENSDARG00000100223,protein_coding,39,3.7360450169,24.1980606278,31.8114989977
FP067451.1,ENSDARG00000096573,antisense,0,0,0,0
f7l,ENSDARG00000100782,protein_coding,0,0,0,0
f7,ENSDARG00000034862,protein_coding,0,0,0,0
f7i,ENSDARG00000075827,protein_coding,5,0.7601164209,4.9232124223,4.0783973074
f10,ENSDARG00000088581,protein_coding,35,4.8135131913,31.1767346246,28.5487811518
prozb,ENSDARG00000076900,protein_coding,0,0,0,0
pcid2,ENSDARG00000013802,protein_coding,9,1.5370550905,9.9553811852,7.3411151533
cul4a,ENSDARG00000096578,protein_coding,72,12.5829374789,81.498665732,58.7289212266
FO681286.1,ENSDARG00000109848,protein_coding,0,0,0,0
lamp1a,ENSDARG00000100181,protein_coding,0,0,0,0
grtp1a,ENSDARG00000029936,protein_coding,0,0,0,0
adprhl1,ENSDARG00000041589,protein_coding,0,0,0,0
dcun1d2b,ENSDARG00000041592,protein_coding,1,0.2518747093,1.631372068,0.8156794615
tmco3,ENSDARG00000075108,protein_coding,7,1.3139590063,8.5104059381,5.7097562304
tfdp1b,ENSDARG00000016304,protein_coding,2,0.1988027787,1.2876294774,1.631358923
grk1a,ENSDARG00000058803,protein_coding,57,5.2705528103,34.1369431763,46.4937293044
cenpe,ENSDARG00000063385,protein_coding,84,3.7198584407,24.0932214867,68.5170747644
gas6,ENSDARG00000007804,protein_coding,3,0.4266683073,2.7634960286,2.4470383844
pros1,ENSDARG00000068261,protein_coding,59,8.262675535,53.5166794404,48.1250882274
rasa3,ENSDARG00000063371,protein_coding,59,7.6459727307,49.5223453841,48.1250882274
tpp2,ENSDARG00000078751,protein_coding,52,3.5484270357,22.9828741771,42.415331997
ENSDARG00000078878,ENSDARG00000078878,protein_coding,0,0,0,0
zgc:92518,ENSDARG00000016343,protein_coding,0,0,0,0
ercc5,ENSDARG00000023678,protein_coding,40,4.3941586653,28.4606093635,32.6271784592
blzf1,ENSDARG00000011299,protein_coding,15,1.8481017185,11.970004973,12.2351919222
trmt10c,ENSDARG00000041575,protein_coding,17,3.5031343491,22.6895171187,13.8665508452
txnl4b,ENSDARG00000058962,protein_coding,7,1.6408063091,10.6273694152,5.7097562304
si:ch73-41e3.7,ENSDARG00000089799,protein_coding,0,0,0,0
mrpl16,ENSDARG00000075325,protein_coding,21,2.5259365887,16.3602864634,17.1292686911
mrpl39,ENSDARG00000041570,protein_coding,8,1.1330557163,7.3387099975,6.5254356918
CU571081.1,ENSDARG00000113329,protein_coding,0,0,0,0
dre-mir-155,ENSDARG00000081781,miRNA,0,0,0,
jam2a,ENSDARG00000058996,protein_coding,0,0,0,0
atp5pf,ENSDARG00000014313,protein_coding,1,0.243217537,1.5753002654,0.8156794615
appa,ENSDARG00000104279,protein_coding,880,54.2466254158,351.3509940955,717.7979261029
cyyr1,ENSDARG00000103783,protein_coding,10,1.2808792421,8.2961509876,8.1567946148
adamts1,ENSDARG00000103519,protein_coding,28,3.8381434131,24.8593436612,22.8390249215
adamts5,ENSDARG00000100307,protein_coding,31,4.1315866043,26.759951416,25.2860633059
gart,ENSDARG00000101089,protein_coding,11,1.3329421205,8.6333580294,8.9724740763
n6amt1,ENSDARG00000115421,protein_coding,0,0,0,0
CU611053.1,ENSDARG00000115673,rRNA,0,0,0,
CR450787.2,ENSDARG00000116514,rRNA,0,0,0,
CR450787.1,ENSDARG00000103469,processed_transcript,0,0,0,
CZQB01066256.1,ENSDARG00000117321,lincRNA,0,0,0,0
runx1,ENSDARG00000087646,protein_coding,0,0,0,0
dre-mir-459,ENSDARG00000080051,miRNA,0,0,0,
urp2,ENSDARG00000067781,protein_coding,0,0,0,0
clic6,ENSDARG00000099108,protein_coding,18,7.337767345,47.5261240926,14.6822303067
atp1a1a.4,ENSDARG00000001870,protein_coding,591,49.5749255802,321.0927730763,482.066561735
atp1a1a.1,ENSDARG00000002791,protein_coding,666,58.2911552917,377.5470861406,543.2425213461
atp1a1a.2,ENSDARG00000007739,protein_coding,10,1.1327135067,7.3364935342,8.1567946148
atp1a1a.3,ENSDARG00000039131,protein_coding,45,5.1658600837,33.4588568757,36.7055757666
atp1a1a.5,ENSDARG00000040252,protein_coding,12,1.1781406557,7.6307214948,9.7881535378
si:ch211-132g1.3,ENSDARG00000089477,protein_coding,65,7.7169021004,49.98174916,53.0191649962
si:ch211-132g1.6,ENSDARG00000093102,protein_coding,0,0,0,0
si:ch211-132g1.4,ENSDARG00000095102,protein_coding,0,0,0,0
si:ch211-132g1.1,ENSDARG00000040250,protein_coding,0,0,0,0
si:ch211-132g1.7,ENSDARG00000075505,protein_coding,2,0.2478793404,1.6054943881,1.631358923
slc5a3a,ENSDARG00000010376,protein_coding,0,0,0,0
oxgr1a.1,ENSDARG00000033684,protein_coding,0,0,0,0
oxgr1a.3,ENSDARG00000040247,protein_coding,0,0,0,0
oxgr1a.2,ENSDARG00000078743,protein_coding,0,0,0,0
mbnl2,ENSDARG00000018460,protein_coding,339,21.9811633584,142.3702126749,276.5153374419
rap2ab,ENSDARG00000040246,protein_coding,3,2.0272510383,13.1303405902,2.4470383844
kpnb3,ENSDARG00000040245,protein_coding,67,5.9235682742,38.3664713849,54.6505239192
CR352215.1,ENSDARG00000082290,snoRNA,0,0,0,
farp1,ENSDARG00000074381,protein_coding,221,15.1083045387,97.8552634029,180.2651609872
si:ch211-235f1.3,ENSDARG00000095179,protein_coding,0,0,0,0
CR352215.2,ENSDARG00000084484,rRNA,0,0,0,
ggact.3,ENSDARG00000070579,protein_coding,0,0,0,0
ggact.2,ENSDARG00000038248,protein_coding,0,0,0,0
ggact.1,ENSDARG00000070581,protein_coding,14,2.9332850218,18.9986492338,11.4195124607
CU986306.1,ENSDARG00000096559,antisense,0,0,0,0
gpc6a,ENSDARG00000103156,protein_coding,40,7.4228885122,48.0774469902,32.6271784592
gpc5a,ENSDARG00000103647,protein_coding,1,0.229383145,1.4856960301,0.8156794615
dre-mir-92a-1,ENSDARG00000104805,miRNA,0,0,0,
dre-mir-19b,ENSDARG00000100273,miRNA,0,0,0,
dre-mir-20a,ENSDARG00000104910,miRNA,0,0,0,
dre-mir-19a,ENSDARG00000099103,miRNA,0,0,0,
dre-mir-18a,ENSDARG00000098078,miRNA,0,0,0,
dre-mir-17a-1,ENSDARG00000104155,miRNA,0,0,0,
CABZ01113467.1,ENSDARG00000117575,lincRNA,0,0,0,0
CABZ01063288.1,ENSDARG00000088916,rRNA,0,0,0,
slitrk6,ENSDARG00000098769,protein_coding,42,4.0492906343,26.2269270914,34.2585373822
FP009765.2,ENSDARG00000104115,rRNA,0,0,0,
