Benchmark Dose Analyses
Data Source: DBP_ds_DESeq_normData
Work Source: DBP_ds_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5
BMDExpress3 Version: BMDExpress 3.00.0020 BETA
Timestamp (Start Time): 10/05/2022 13:04.13
Operating System: Windows 10
BMDS Major Version: 3.x with shared library/DLL
hill version: Hill EPA BMDS MLE ToxicR
power version: Power EPA BMDS MLE ToxicR
linear version: Linear EPA BMDS MLE ToxicR
poly 2 version: Poly 2 EPA BMDS MLE ToxicR
poly 3 version: Poly 3 EPA BMDS MLE ToxicR
exponential 3 version: Exponential 3 EPA BMDS MLE ToxicR
exponential 5 version: Exponential 5 EPA BMDS MLE ToxicR
Models fit: hill, power, linear, poly 2, poly 3, exponential 3, exponential 5
Constant Variance: 1
BMR Type: Standard Deviation
BMR Factor: 1.0
Highest Dose: 3.0
Lowest Positive Dose: 3.000000142492354E-4
Best Model Selection: Lowest AIC
Fit Selected Models with Multiple Threads: 4
Number of Available Processors On Machine: 8
BMDL and BMDU Model Selection: Compute and utilize BMD and BMDL in best model selection
Use Wald (Fast BMD): true
Flag Hill Model with 'k' Parameter <: 1/3 of Lowest Positive Dose
Best Model Selection with Flagged Hill Model: Select Next Best Model with P-Value > 0.05
Total Run Time: 192 seconds
Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL	Flagged Hill
ENSDARG00000001818	Linear		566347	c3b.2	0.761721	0.50655	1.14543	0.303275397175622	-58.74262200192992	123.48524400385983	-1	1.5037429671305893	true	250.98	-39.9788		
ENSDARG00000002197	Linear				0.80554	0.529922	1.22451	0.21395537733907766	-72.69372200192991	151.38744400385983	-1	1.520110506829307	true	535.898	-95.8216		
ENSDARG00000002509	Linear		768172	zgc:153911	1.18994	0.702694	2.01505	0.4277314893355155	-31.71892200192991	69.43784400385982	1	1.6933971259182516	true	11.6807	4.2236		
ENSDARG00000002764	Linear		571850	miox	1.17748	0.69885	1.98393	0.30907478566067126	-56.853022001929915	119.70604400385983	-1	1.6848823066466339	true	113.85	-22.8015		
ENSDARG00000002968	Linear		562916	a1cf	0.864096	0.559893	1.33358	0.6217478248131851	-55.885722001929906	117.77144400385981	-1	1.5433234564461424	true	162.188	-29.1305		
ENSDARG00000002986	Linear		553701	gda	0.735611	0.492348	1.09907	0.10130392324476745	-64.37442200192991	134.74884400385983	-1	1.494087515334682	true	446.435	-60.261		
ENSDARG00000003027	Linear		321696	scnm1	2.31553	0.949621	5.64614	0.12429793547387713	-41.83462200192991	89.66924400385982	1	2.4383727824047696	true	53.5278	4.26029		
ENSDARG00000003635	Linear		494083	mogat3b	1.30099	0.744119	2.27459	0.18571408074876317	-48.39142200192991	102.78284400385982	-1	1.748362829063631	true	107.757	-11.7396		
ENSDARG00000004296	Power		394093	ambp	2.74554	1.47395E-4	51141.2	0.47961385544244484	-71.66682200192992	151.33364400385983	-1	18627.090471182877	782.354	-1.2146E-6	17.7221	true		
ENSDARG00000004396	Linear		791470	b3gnt5b	1.44304	0.789801	2.63657	0.42852877834915837	-39.65602200192991	85.31204400385982	1	1.8270931538450828	true	41.9378	5.91199		
ENSDARG00000004869	Linear		368228	penka	1.12943	0.679897	1.87617	0.07674729656574852	-43.83272200192991	93.66544400385982	-1	1.6611780902107232	true	93.2888	-9.9789		
ENSDARG00000004904	Linear		373082	gys2	0.806352	0.530389	1.2259	0.10266057127108208	-63.965622001929916	133.93124400385983	-1	1.5203030228756629	true	328.061	-53.4962		
ENSDARG00000004954	Linear		791524	grna	1.8024	0.878721	3.69703	1.1183475156506528E-4	-37.744922001929915	81.48984400385983	1	2.0511629971287815	true	21.2419	4.16705		
ENSDARG00000004964	Linear		387527	cyp4t8	1.14639	0.686571	1.91416	0.33954226852111535	-63.626522001929914	133.25304400385983	-1	1.6697326277981446	true	343.325	-36.7872		
ENSDARG00000005050	Exp 5		359837	wnt2ba	0.00782988	2.27687E-4	0.269259	0.9960608371917594	-25.919922001929912	61.839844003859824	-1	34.3887881170203	true	17.6671	33.3333	0.49299857273721337	0.546488		
ENSDARG00000005112	Linear		378452	cdh17	0.635722	0.4354	0.928209	0.35296665180424325	-74.00022200192991	154.00044400385983	-1	1.4600872760679835	true	1219.83	-132.468		
ENSDARG00000005320	Linear		30231	nipsnap1	0.721903	0.484671	1.07525	0.8321790486912661	-31.00702200192991	68.01404400385982	-1	1.4894701766765495	true	42.542	-6.63926		
ENSDARG00000006110	Hill		30161	chrd	0.248002	5.23378E-8	1175160.0	0.8710494222186302	-31.036022001929908	72.07204400385982	-1	4738487.28834609	0	37.3837	-11.6691	11.6195	0.255755	true	
