.id,chemical,median_POD,POD_med,cil_POD,mean_POD,ciu_POD,hit_confidence,lowest_conc,highest_conc
pearson_fitted,17betaestradiol,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
pearson_fitted,1decanol,1,1,1,1,1,0,0.0001,1
pearson_fitted,1octanol,10,10,10,10,10,0,0.001,10
pearson_fitted,24DMP,1,1,1,1,1,0,0.0001,1
pearson_fitted,24DNP,10,10,10,10,10,0,0.0001,10
pearson_fitted,34DCA,1,1,1,1,1,0,0.00001,1
pearson_fitted,4C3MP,1,1,1,1,1,0,0.0001,1
pearson_fitted,4TOP,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
pearson_fitted,4TPP,0.983628871866631,1,0.870039806517322,0.970454183862137,1,0.33,0.0001,1
pearson_fitted,Aniline,10,10,10,10,10,0,0.001,10
pearson_fitted,BPA,1,1,1,1,1,0,0.0001,1
pearson_fitted,BPAF,1,1,1,1,1,0,0.0001,1
pearson_fitted,ClofibricAcid,10,10,10,10,10,0,0.001,10
pearson_fitted,DES,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
pearson_fitted,DMSO,10,10,10,10,10,0,0.001,10
pearson_fitted,Dimethylformamide,1000,1000,1000,1000,1000,0,0.1,1000
pearson_fitted,EE2,0.001,0.001,0.001,0.001,0.001,0,0.0000001,0.001
pearson_fitted,Fadrozole,1,1,1,1,1,0,0.0001,1
pearson_fitted,Fenitrothion,1,1,1,1,1,0,0.0001,1
pearson_fitted,Fluoxetine,0.0295775730089561,0.1,0.00762434246795576,0.0288513652276901,0.1,0.498,0.00001,0.1
pearson_fitted,Flutamide,1,1,1,1,1,0,0.0001,1
pearson_fitted,Glyphosate,1,1,1,1,1,0,0.0001,1
pearson_fitted,Malathion,1,1,1,1,1,0,0.0001,1
pearson_fitted,Prochloraz,1,1,1,1,1,0,0.0001,1
pearson_fitted,SDS,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
pearson_fitted,TEG,1000,1000,1000,1000,1000,0,0.1,1000
pearson_fitted,TGSH,1,1,1,1,1,0,0.0001,1
pearson_fitted,Trenbolone,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
pearson_fitted,Vinclozolin,1,1,1,1,1,0,0.0001,1
