Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 03/16/22
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: TGSH_DeSeq_normDataF2
Work Source: TGSH_DeSeq_normDataF2_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0020 BETA
Timestamp (Start Time): 04/27/2022 18:45.54
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 1106
Total Run Time: 21 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	243	307	31	14	10	21	21	16	31	6	6	108	301	4477	0.4196	0.73014	0.84471	1.95	678603;563738;447926;393730;322691;321545	st14a;si:ch211-284e20.8;kif2a;scg3;plg;serpinc1	ENSDARG00000061173;ENSDARG00000070918;ENSDARG00000043571;ENSDARG00000086288;ENSDARG00000023111;ENSDARG00000042684		415.56435000000005	484.69500000000005	37.8151	188.8110234512142	362.4200512239101	219.13513203617165	227.57361	270.0395	6.13966	109.10995985364767	198.3653507738998	128.1342622148819	778.9881666666666	869.9804999999999	232.909	284.4605673434658	694.3374975764128	323.6236603372349					428.29;481.97;521.595;536.296;487.42;37.8151	252.036;268.499;281.919;285.268;271.58;6.13966	727.803;865.161;965.036;1008.22;874.8;232.909	5	1	5	678603;563738;447926;322691;321545	ENSDARG00000061173;ENSDARG00000070918;ENSDARG00000043571;ENSDARG00000023111;ENSDARG00000042684	391.41802	481.97	200.47235177787476	216.034732	268.499	117.82460007502307	733.1418	865.161	292.20386366832986	428.29;481.97;521.595;487.42;37.8151	252.036;268.499;281.919;271.58;6.13966	727.803;865.161;965.036;874.8;232.909	1	393730	ENSDARG00000086288	536.296	536.296		285.268	285.268		1008.22	1008.22		536.296	285.268	1008.22	0						Hill,1(0.17);Linear,5(0.84)	2.23897870814596	15.114998459815979	1.6112229824066162	5.854979991912842	1.6391571647683434	1.9285349249839783	264.48406601240646	566.6446339875936	140.26745901764852	314.8797609823514	551.3723076348593	1006.604025698474	UP	0.8333333333333334	0.16666666666666666	0.0	
R-DRE-114608	Platelet degranulation 	49	69	9	5	5	6	6	3	9	3	3	111	66	4712	0.92376	0.2167	0.2167	4.35	563738;393730;322691	si:ch211-284e20.8;scg3;plg	ENSDARG00000070918;ENSDARG00000086288;ENSDARG00000023111		501.8953333333334	487.42	481.97	29.916216761704582	507.84410583381054	30.533929938992017	275.11566666666664	271.58	268.499	8.926115859282728	277.0875216345477	8.841216757145109	916.0603333333332	874.8	865.161	79.95799334859305	931.2685291394531	82.46539451379847					481.97;536.296;487.42	268.499;285.268;271.58	865.161;1008.22;874.8	2	1	2	563738;322691	ENSDARG00000070918;ENSDARG00000023111	484.69500000000005	484.69500000000005	3.853731957452486	270.0395	270.0395	2.1785959928414957	869.9804999999999	869.9804999999999	6.815802263875391	481.97;487.42	268.499;271.58	865.161;874.8	1	393730	ENSDARG00000086288	536.296	536.296		285.268	285.268		1008.22	1008.22		536.296	285.268	1008.22	0						Linear,3(1)	2.7980985626639763	9.723872184753418	1.913762092590332	5.854979991912842	2.263615802924555	1.9551301002502441	468.04194716434216	535.7487195023245	265.0148156940847	285.2165176392487	825.5793461253373	1006.5413205413291	UP	0.6666666666666666	0.3333333333333333	0.0	
R-DRE-168249	Innate Immune System	403	502	57	34	24	37	37	33	57	16	16	98	486	4292	0.92793	0.11987	0.20865	3.19	565124;563828;563030;556641;415221;406445;405822;403026;394102;393159;336492;336334;327007;259303;101887158;100330411	si:ch211-194p6.10;si:ch1073-280e3.1;iqgap2;pld1a;psmd8;psma8;pgm2;vtnb;surf4;snap23.1;ptgdsb.1;eef1a1a;vamp8;caspb;tmem176l.3a;ap1m1	ENSDARG00000105568;ENSDARG00000019772;ENSDARG00000060010;ENSDARG00000056228;ENSDARG00000020454;ENSDARG00000010965;ENSDARG00000018178;ENSDARG00000053831;ENSDARG00000104647;ENSDARG00000012874;ENSDARG00000027088;ENSDARG00000039502;ENSDARG00000024116;ENSDARG00000052039;ENSDARG00000098387;ENSDARG00000096249		446.08183937499996	505.72299999999996	1.12743	139.98544057757636	400.67408330647885	185.93884701110142	249.69766543749998	277.3245	0.265647	71.19568157986637	225.09113367380047	100.09482145043752	800.1706206250001	922.2435	4.78493	280.2556719230662	716.2069819620201	350.9351712343075					406.274;522.259;388.058;343.132;570.45;520.469;501.455;468.911;590.722;1.12743;534.074;509.991;510.586;379.929;510.988;378.884	244.755;281.433;236.926;218.722;294.047;280.864;276.241;265.987;308.67;0.265647;284.872;278.408;278.589;233.539;278.739;233.105	674.383;969.164;635.594;538.307;1106.67;964.483;910.28;826.649;1130.5;4.78493;1001.27;934.207;935.777;618.079;936.75;615.832	13	3	13	565124;563828;563030;556641;406445;405822;403026;394102;393159;336492;327007;259303;101887158	ENSDARG00000105568;ENSDARG00000019772;ENSDARG00000060010;ENSDARG00000056228;ENSDARG00000010965;ENSDARG00000018178;ENSDARG00000053831;ENSDARG00000104647;ENSDARG00000012874;ENSDARG00000027088;ENSDARG00000024116;ENSDARG00000052039;ENSDARG00000098387	436.768033076923	501.455	149.6506412055845	245.35404976923076	276.241	77.84634536445311	780.4631484615385	910.28	292.5763830609935	406.274;522.259;388.058;343.132;520.469;501.455;468.911;590.722;1.12743;534.074;510.586;379.929;510.988	244.755;281.433;236.926;218.722;280.864;276.241;265.987;308.67;0.265647;284.872;278.589;233.539;278.739	674.383;969.164;635.594;538.307;964.483;910.28;826.649;1130.5;4.78493;1001.27;935.777;618.079;936.75	3	415221;336334;100330411	ENSDARG00000020454;ENSDARG00000039502;ENSDARG00000096249	486.44166666666666	509.991	97.93013537381306	268.52000000000004	278.408	31.651402006862053	885.5696666666666	934.207	249.00738584695367	570.45;509.991;378.884	294.047;278.408;233.105	1106.67;934.207;615.832	0						Hill,1(0.07);Linear,15(0.94)	2.1772499120393665	39.71411681175232	1.5337013006210327	9.328265190124512	1.8892152744445405	1.9281646013259888	377.4889734919876	514.6747052580124	214.8117814633655	284.58354941163446	662.8453413826975	937.4958998673027	UP	0.8125	0.1875	0.0	
R-DRE-168256	Immune System	651	839	79	46	28	50	50	45	79	18	18	96	821	3957	0.4054	0.69001	0.80164	2.15	565124;563828;563606;563030;556641;415221;406445;405822;403026;394102;393159;336492;336334;327007;259303;101887158;100330411;100003679	si:ch211-194p6.10;si:ch1073-280e3.1;sigirr;iqgap2;pld1a;psmd8;psma8;pgm2;vtnb;surf4;snap23.1;ptgdsb.1;eef1a1a;vamp8;caspb;tmem176l.3a;ap1m1;keap1b	ENSDARG00000105568;ENSDARG00000019772;ENSDARG00000062204;ENSDARG00000060010;ENSDARG00000056228;ENSDARG00000020454;ENSDARG00000010965;ENSDARG00000018178;ENSDARG00000053831;ENSDARG00000104647;ENSDARG00000012874;ENSDARG00000027088;ENSDARG00000039502;ENSDARG00000024116;ENSDARG00000052039;ENSDARG00000098387;ENSDARG00000096249;ENSDARG00000074634		454.516135	505.72299999999996	1.12743	139.28264402778828	405.813551352843	184.59624852231113	252.69631372222224	277.3245	0.265647	68.17654367886401	227.274633634851	98.37322772708956	822.0641627777778	922.2435	4.78493	292.5378671576589	728.1186459068892	353.7441926837969					406.274;522.259;408.828;388.058;343.132;570.45;520.469;501.455;468.911;590.722;1.12743;534.074;509.991;510.586;379.929;510.988;378.884;635.153	244.755;281.433;247.621;236.926;218.722;294.047;280.864;276.241;265.987;308.67;0.265647;284.872;278.408;278.589;233.539;278.739;233.105;305.75	674.383;969.164;674.985;635.594;538.307;1106.67;964.483;910.28;826.649;1130.5;4.78493;1001.27;934.207;935.777;618.079;936.75;615.832;1319.44	15	3	15	565124;563828;563606;563030;556641;406445;405822;403026;394102;393159;336492;327007;259303;101887158;100003679	ENSDARG00000105568;ENSDARG00000019772;ENSDARG00000062204;ENSDARG00000060010;ENSDARG00000056228;ENSDARG00000010965;ENSDARG00000018178;ENSDARG00000053831;ENSDARG00000104647;ENSDARG00000012874;ENSDARG00000027088;ENSDARG00000024116;ENSDARG00000052039;ENSDARG00000098387;ENSDARG00000074634	448.1310286666666	501.455	148.06954169210334	249.53157646666665	276.241	73.73295239638695	809.3630620000001	910.28	306.6297080891666	406.274;522.259;408.828;388.058;343.132;520.469;501.455;468.911;590.722;1.12743;534.074;510.586;379.929;510.988;635.153	244.755;281.433;247.621;236.926;218.722;280.864;276.241;265.987;308.67;0.265647;284.872;278.589;233.539;278.739;305.75	674.383;969.164;674.985;635.594;538.307;964.483;910.28;826.649;1130.5;4.78493;1001.27;935.777;618.079;936.75;1319.44	3	415221;336334;100330411	ENSDARG00000020454;ENSDARG00000039502;ENSDARG00000096249	486.44166666666666	509.991	97.93013537381306	268.52000000000004	278.408	31.651402006862053	885.5696666666666	934.207	249.00738584695367	570.45;509.991;378.884	294.047;278.408;233.105	1106.67;934.207;615.832	0						Hill,1(0.06);Linear,17(0.95)	2.3074709837058247	47.07014441490173	1.5337013006210327	9.328265190124512	1.8175736571422674	1.9556968808174133	390.17083629882126	518.8614337011788	221.20035743814097	284.19227000630354	686.9185631587046	957.2097623968508	UP	0.8333333333333334	0.16666666666666666	0.0	
R-DRE-6798695	Neutrophil degranulation	232	300	36	23	16	23	23	20	36	9	9	105	291	4487	0.84042	0.26378	0.42583	3.0	563030;556641;405822;394102;393159;336492;336334;327007;100330411	iqgap2;pld1a;pgm2;surf4;snap23.1;ptgdsb.1;eef1a1a;vamp8;ap1m1	ENSDARG00000060010;ENSDARG00000056228;ENSDARG00000018178;ENSDARG00000104647;ENSDARG00000012874;ENSDARG00000027088;ENSDARG00000039502;ENSDARG00000024116;ENSDARG00000096249		417.5588255555556	501.455	1.12743	176.46462159962488	352.0013746829578	220.1779640892456	235.08873855555555	276.241	0.265647	92.71729891351684	199.1974265995992	120.71118568179507	745.1724366666666	910.28	4.78493	341.5207382854791	625.0728712699942	406.68427160465694					388.058;343.132;501.455;590.722;1.12743;534.074;509.991;510.586;378.884	236.926;218.722;276.241;308.67;0.265647;284.872;278.408;278.589;233.105	635.594;538.307;910.28;1130.5;4.78493;1001.27;934.207;935.777;615.832	7	2	7	563030;556641;405822;394102;393159;336492;327007	ENSDARG00000060010;ENSDARG00000056228;ENSDARG00000018178;ENSDARG00000104647;ENSDARG00000012874;ENSDARG00000027088;ENSDARG00000024116	409.87920428571425	501.455	199.44331539152213	229.18366385714288	276.241	105.3940203565028	736.6447042857144	910.28	382.9967900657028	388.058;343.132;501.455;590.722;1.12743;534.074;510.586	236.926;218.722;276.241;308.67;0.265647;284.872;278.589	635.594;538.307;910.28;1130.5;4.78493;1001.27;935.777	2	336334;100330411	ENSDARG00000039502;ENSDARG00000096249	444.4375	444.4375	92.7066487610246	255.75650000000002	255.75650000000002	32.03405850809412	775.0195	775.0195	225.12512146026708	509.991;378.884	278.408;233.105	934.207;615.832	0						Hill,1(0.12);Linear,8(0.89)	2.0043395195559355	18.593295693397522	1.5337013006210327	3.3701260089874268	0.5802926418404564	1.9281580448150635	302.2686061104672	532.849045000644	174.51343659872455	295.6640405123865	522.0455543201539	968.2993190131796	UP	0.7777777777777778	0.2222222222222222	0.0	
R-DRE-76002	Platelet activation, signaling and aggregation	109	141	14	6	5	9	9	5	14	3	3	111	138	4640	0.58189	0.64454	1.0	2.13	563738;393730;322691	si:ch211-284e20.8;scg3;plg	ENSDARG00000070918;ENSDARG00000086288;ENSDARG00000023111		501.8953333333334	487.42	481.97	29.916216761704582	507.84410583381054	30.533929938992017	275.11566666666664	271.58	268.499	8.926115859282728	277.0875216345477	8.841216757145109	916.0603333333332	874.8	865.161	79.95799334859305	931.2685291394531	82.46539451379847					481.97;536.296;487.42	268.499;285.268;271.58	865.161;1008.22;874.8	2	1	2	563738;322691	ENSDARG00000070918;ENSDARG00000023111	484.69500000000005	484.69500000000005	3.853731957452486	270.0395	270.0395	2.1785959928414957	869.9804999999999	869.9804999999999	6.815802263875391	481.97;487.42	268.499;271.58	865.161;874.8	1	393730	ENSDARG00000086288	536.296	536.296		285.268	285.268		1008.22	1008.22		536.296	285.268	1008.22	0						Linear,3(1)	2.7980985626639763	9.723872184753418	1.913762092590332	5.854979991912842	2.263615802924555	1.9551301002502441	468.04194716434216	535.7487195023245	265.0148156940847	285.2165176392487	825.5793461253373	1006.5413205413291	UP	0.6666666666666666	0.3333333333333333	0.0	
R-DRE-76005	Response to elevated platelet cytosolic Ca2+	51	71	9	5	5	6	6	3	9	3	3	111	68	4710	0.91723	0.22902	0.22902	4.23	563738;393730;322691	si:ch211-284e20.8;scg3;plg	ENSDARG00000070918;ENSDARG00000086288;ENSDARG00000023111		501.8953333333334	487.42	481.97	29.916216761704582	507.84410583381054	30.533929938992017	275.11566666666664	271.58	268.499	8.926115859282728	277.0875216345477	8.841216757145109	916.0603333333332	874.8	865.161	79.95799334859305	931.2685291394531	82.46539451379847					481.97;536.296;487.42	268.499;285.268;271.58	865.161;1008.22;874.8	2	1	2	563738;322691	ENSDARG00000070918;ENSDARG00000023111	484.69500000000005	484.69500000000005	3.853731957452486	270.0395	270.0395	2.1785959928414957	869.9804999999999	869.9804999999999	6.815802263875391	481.97;487.42	268.499;271.58	865.161;874.8	1	393730	ENSDARG00000086288	536.296	536.296		285.268	285.268		1008.22	1008.22		536.296	285.268	1008.22	0						Linear,3(1)	2.7980985626639763	9.723872184753418	1.913762092590332	5.854979991912842	2.263615802924555	1.9551301002502441	468.04194716434216	535.7487195023245	265.0148156940847	285.2165176392487	825.5793461253373	1006.5413205413291	UP	0.6666666666666666	0.3333333333333333	0.0	
R-DRE-1430728	Metabolism	874	1029	150	78	50	94	94	76	150	35	35	79	994	3784	0.99496	0.0091453	0.014161	3.4	792041;790919;777632;768185;63999;569130;569014;568277;563972;558496;556641;556199;555470;554166;550579;550507;449677;445182;436863;415221;414331;406445;405829;405822;405806;402799;386663;378446;336492;334195;334098;323424;322732;140620;100002812	tbxas1;g6pc3;mccc1;hsd17b7;star;mtmr12;ggt1b;sbf1;gstt1a;cerk;pld1a;phka2;gphna;st3gal7;idh3g;bdh2;cpt1b;auh;plaat1;psmd8;cyp51;psma8;dpydb;pgm2;hoga1;degs2;pfkfb4b;dhcr7;ptgdsb.1;mat1a;hsd11b2;sult1st1;alox12;prps1a;phospho1	ENSDARG00000002249;ENSDARG00000020371;ENSDARG00000102538;ENSDARG00000088140;ENSDARG00000006137;ENSDARG00000059817;ENSDARG00000018342;ENSDARG00000062968;ENSDARG00000042428;ENSDARG00000069169;ENSDARG00000056228;ENSDARG00000030687;ENSDARG00000089076;ENSDARG00000039064;ENSDARG00000023648;ENSDARG00000052696;ENSDARG00000058285;ENSDARG00000042975;ENSDARG00000100021;ENSDARG00000020454;ENSDARG00000042641;ENSDARG00000010965;ENSDARG00000010267;ENSDARG00000018178;ENSDARG00000018944;ENSDARG00000042544;ENSDARG00000029075;ENSDARG00000103226;ENSDARG00000027088;ENSDARG00000039605;ENSDARG00000001975;ENSDARG00000028275;ENSDARG00000069463;ENSDARG00000015524;ENSDARG00000008403		475.46145685714293	501.455	5.11499	135.37070676236266	449.1081189681609	159.31365550325748	259.5478811428572	278.423	1.19084	55.991983637305616	246.98485075083562	75.36248029379104	879.9168114285712	910.28	21.9704	326.55378051025406	824.7666086015752	350.65293387064054					365.71;561.884;297.834;508.488;706.945;450.654;547.603;428.082;545.366;507.257;343.132;541.466;5.11499;607.542;717.968;302.14;645.433;436.465;630.122;570.45;465.835;520.469;372.875;501.455;500.207;389.278;512.644;441.772;534.074;458.644;351.429;526.324;604.666;313.937;427.886	227.558;294.681;195.997;278.423;318.538;260.306;283.148;252.208;287.672;279.869;218.722;286.931;1.19084;302.173;320.637;198.295;309.076;254.967;305.454;294.047;264.974;280.864;230.67;276.241;279.822;236.524;279.227;256.967;284.872;262.493;221.375;282.883;300.607;203.92;252.844	587.736;1071.37;452.584;928.66;1568.95;780.195;1059.05;726.599;1033.9;919.391;538.307;1021.8;21.9704;1221.51;1607.67;460.367;1347.84;747.162;1299.88;1106.67;818.956;964.483;602.749;910.28;894.165;640.685;941.185;759.485;1001.27;801.371;557.886;979.264;1216.28;483.31;724.108	27	8	27	792041;790919;777632;768185;63999;569130;569014;563972;558496;556641;554166;550579;550507;445182;414331;406445;405829;405822;405806;402799;378446;336492;334195;323424;322732;140620;100002812	ENSDARG00000002249;ENSDARG00000020371;ENSDARG00000102538;ENSDARG00000088140;ENSDARG00000006137;ENSDARG00000059817;ENSDARG00000018342;ENSDARG00000042428;ENSDARG00000069169;ENSDARG00000056228;ENSDARG00000039064;ENSDARG00000023648;ENSDARG00000052696;ENSDARG00000042975;ENSDARG00000042641;ENSDARG00000010965;ENSDARG00000010267;ENSDARG00000018178;ENSDARG00000018944;ENSDARG00000042544;ENSDARG00000103226;ENSDARG00000027088;ENSDARG00000039605;ENSDARG00000028275;ENSDARG00000069463;ENSDARG00000015524;ENSDARG00000008403	479.86703703703694	500.207	110.26312550038693	264.24692592592595	276.241	34.44627167603056	880.4910370370368	894.165	296.89137238241557	365.71;561.884;297.834;508.488;706.945;450.654;547.603;545.366;507.257;343.132;607.542;717.968;302.14;436.465;465.835;520.469;372.875;501.455;500.207;389.278;441.772;534.074;458.644;526.324;604.666;313.937;427.886	227.558;294.681;195.997;278.423;318.538;260.306;283.148;287.672;279.869;218.722;302.173;320.637;198.295;254.967;264.974;280.864;230.67;276.241;279.822;236.524;256.967;284.872;262.493;282.883;300.607;203.92;252.844	587.736;1071.37;452.584;928.66;1568.95;780.195;1059.05;1033.9;919.391;538.307;1221.51;1607.67;460.367;747.162;818.956;964.483;602.749;910.28;894.165;640.685;759.485;1001.27;801.371;979.264;1216.28;483.31;724.108	8	568277;556199;555470;449677;436863;415221;386663;334098	ENSDARG00000062968;ENSDARG00000030687;ENSDARG00000089076;ENSDARG00000058285;ENSDARG00000100021;ENSDARG00000020454;ENSDARG00000029075;ENSDARG00000001975	460.59262375	527.0550000000001	208.62070101003457	243.688605	283.07899999999995	102.21473805190531	877.9788000000001	981.4925	436.52442599022015	428.082;541.466;5.11499;645.433;630.122;570.45;512.644;351.429	252.208;286.931;1.19084;309.076;305.454;294.047;279.227;221.375	726.599;1021.8;21.9704;1347.84;1299.88;1106.67;941.185;557.886	0						Exp 5,1(0.03);Linear,34(0.98)	Infinity	Infinity	1.5418310165405273	Infinity	NaN	2.07499098777771	430.61307837310244	520.3098353411832	240.99771076776784	278.09805151794654	771.72939116617	988.1042316909734	UP	0.7714285714285715	0.22857142857142856	0.0	
R-DRE-156580	Phase II - Conjugation of compounds	44	48	12	7	4	10	10	8	12	4	4	110	44	4734	0.99515	0.02477	0.02477	8.33	569014;563972;334195;323424	ggt1b;gstt1a;mat1a;sult1st1	ENSDARG00000018342;ENSDARG00000042428;ENSDARG00000039605;ENSDARG00000028275		519.48425	535.845	458.644	41.66872242161919	512.4203896504413	46.86975606957935	279.049	283.0155	262.493	11.254015905445543	276.69766809002317	12.3685012613067	968.39625	1006.5820000000001	801.371	116.22447501960713	950.6590462712617	131.39099130931285	1.5	535.845			547.603;545.366;458.644;526.324	283.148;287.672;262.493;282.883	1059.05;1033.9;801.371;979.264	4	0	4	569014;563972;334195;323424	ENSDARG00000018342;ENSDARG00000042428;ENSDARG00000039605;ENSDARG00000028275	519.48425	535.845	41.66872242161919	279.049	283.0155	11.254015905445543	968.39625	1006.5820000000001	116.22447501960713	547.603;545.366;458.644;526.324	283.148;287.672;262.493;282.883	1059.05;1033.9;801.371;979.264	0															0						Linear,4(1)	2.821057605614596	14.71037769317627	1.762402057647705	8.900054931640625	3.48942204550113	2.0239603519439697	478.64890202681255	560.3195979731873	268.0200644126643	290.0779355873357	854.4962644807848	1082.296235519215	UP	1.0	0.0	0.0	
R-DRE-211859	Biological oxidations	98	112	18	10	6	14	14	11	18	6	6	108	106	4672	0.98497	0.045672	0.045672	5.36	792041;569014;563972;414331;334195;323424	tbxas1;ggt1b;gstt1a;cyp51;mat1a;sult1st1	ENSDARG00000002249;ENSDARG00000018342;ENSDARG00000042428;ENSDARG00000042641;ENSDARG00000039605;ENSDARG00000028275		484.91366666666664	496.07949999999994	365.71	70.08973945069737	482.33558076257475	70.18323044047384	268.1213333333333	273.9285	227.558	22.418313653499037	267.09926489785454	22.10003270302507	880.0461666666669	899.11	587.736	179.40154775298436	874.2075489025394	181.16374149832933	4.5	546.4845			365.71;547.603;545.366;465.835;458.644;526.324	227.558;283.148;287.672;264.974;262.493;282.883	587.736;1059.05;1033.9;818.956;801.371;979.264	6	0	6	792041;569014;563972;414331;334195;323424	ENSDARG00000002249;ENSDARG00000018342;ENSDARG00000042428;ENSDARG00000042641;ENSDARG00000039605;ENSDARG00000028275	484.91366666666664	496.07949999999994	70.08973945069737	268.1213333333333	273.9285	22.418313653499037	880.0461666666669	899.11	179.40154775298436	365.71;547.603;545.366;465.835;458.644;526.324	227.558;283.148;287.672;264.974;262.493;282.883	587.736;1059.05;1033.9;818.956;801.371;979.264	0															0						Linear,6(1)	2.3843760462492556	18.12434697151184	1.5954372882843018	8.900054931640625	2.8889728792862845	1.8002442121505737	428.8301946994492	540.9971386338841	250.18294641405092	286.0597202526159	736.495031320281	1023.5973020130523	UP	1.0	0.0	0.0	
