Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 03/16/22
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: DES_DeSeq_normDataF2
Work Source: DES_DeSeq_normDataF2_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0020 BETA
Timestamp (Start Time): 04/27/2022 18:45.17
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 768
Total Run Time: 18 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	220	307	18	10	4	16	16	14	18	3	3	26	304	4559	0.89503	0.27282	0.42463	0.98	767657;553656;553553	abhd12;hrasb;cfd	ENSDARG00000071004;ENSDARG00000005651;ENSDARG00000039579		61.60253333333333	58.5336	41.759	21.54257755825276	55.90997870527336	21.49192244442262	29.171166666666664	29.7061	24.7404	4.188995362056818	27.873805576815826	4.341118782313043	133.94320000000002	115.336	70.4846	74.52522168849949	115.92821291800776	72.9170003226317					84.515;41.759;58.5336	33.067;24.7404;29.7061	216.009;70.4846;115.336	1	2	1	553656	ENSDARG00000005651	41.759	41.759		24.7404	24.7404		70.4846	70.4846		41.759	24.7404	70.4846	2	767657;553553	ENSDARG00000071004;ENSDARG00000039579	71.5243	71.5243	18.371624124720242	31.38655	31.38655	2.376515180889902	165.67249999999999	165.67249999999999	71.18656098239335	84.515;58.5336	33.067;29.7061	216.009;115.336	0						Linear,3(1)	2.501510331914322	8.087645411491394	1.672296166419983	4.171412944793701	1.3094224763701832	2.24393630027771	37.22481194683397	85.9802547198327	24.430872170828202	33.911461162505134	49.60997266558738	218.2764273344126	DOWN	0.3333333333333333	0.6666666666666666	0.0	
R-DRE-114608	Platelet degranulation 	48	69	5	3	1	5	5	5	5	1	1	28	68	4795	0.93765	0.33843	0.33843	1.45	553553	cfd	ENSDARG00000039579		58.5336	58.5336	58.5336		58.5336		29.7061	29.7061	29.7061		29.7061		115.336	115.336	115.336		115.33599999999998						58.5336	29.7061	115.336	0	1	0															1	553553	ENSDARG00000039579	58.5336	58.5336		29.7061	29.7061		115.336	115.336		58.5336	29.7061	115.336	0						Linear,1(1)	1.672296166419983	1.672296166419983	1.672296166419983	1.672296166419983	0.0	1.672296166419983	58.5336	58.5336	29.7061	29.7061	115.336	115.336	DOWN	0.0	1.0	0.0	
R-DRE-168249	Innate Immune System	383	502	29	17	7	25	25	19	29	4	4	25	498	4365	0.82952	0.34675	0.53273	0.8	792922;553656;553553;437015	si:ch211-160j14.2;hrasb;cfd;trappc1	ENSDARG00000073961;ENSDARG00000005651;ENSDARG00000039579;ENSDARG00000039005		38.265605	46.50965	1.50952	25.448427015019345	17.896385652169634	26.032470721773144	20.655417749999998	26.304850000000002	0.305871	13.720375106881264	9.608797352560957	14.605056851893401	71.8884675	82.3841	7.44967	46.70317443612967	35.36581612173654	45.35824409515859					1.50952;41.759;58.5336;51.2603	0.305871;24.7404;29.7061;27.8693	7.44967;70.4846;115.336;94.2836	1	3	1	553656	ENSDARG00000005651	41.759	41.759		24.7404	24.7404		70.4846	70.4846		41.759	24.7404	70.4846	3	792922;553553;437015	ENSDARG00000073961;ENSDARG00000039579;ENSDARG00000039005	37.10114	51.2603	31.037038903394127	19.293757	27.8693	16.469618077592052	72.35642333333334	94.2836	57.18798700466411	1.50952;58.5336;51.2603	0.305871;29.7061;27.8693	7.44967;115.336;94.2836	0						Exp 3,1(0.25);Linear,3(0.75)	Infinity	Infinity	1.5924749374389648	Infinity	NaN	2.921854555606842	13.326146525281029	63.205063474718955	7.209450145256369	34.101385354743634	26.119356552592897	117.6575784474071	DOWN	0.25	0.75	0.0	
R-DRE-168256	Immune System	594	839	45	29	12	38	38	28	45	5	5	24	834	4029	0.62168	0.57165	1.0	0.6	792922;553656;553553;437015;378451	si:ch211-160j14.2;hrasb;cfd;trappc1;fbxl3a	ENSDARG00000073961;ENSDARG00000005651;ENSDARG00000039579;ENSDARG00000039005;ENSDARG00000103505		38.886764	41.759	1.50952	22.08270863527571	21.587220006956397	25.03436423345528	21.4447542	24.7404	0.305871	12.012567584061207	11.966103537040365	14.344636194185485	71.42497399999999	70.4846	7.44967	40.45941185844625	40.743690056086706	42.653494330802495					1.50952;41.759;58.5336;51.2603;41.3714	0.305871;24.7404;29.7061;27.8693;24.6021	7.44967;70.4846;115.336;94.2836;69.571	2	3	2	553656;378451	ENSDARG00000005651;ENSDARG00000103505	41.565200000000004	41.565200000000004	0.274074588386654	24.67125	24.67125	0.09779286783765195	70.0278	70.0278	0.6460127552930188	41.759;41.3714	24.7404;24.6021	70.4846;69.571	3	792922;553553;437015	ENSDARG00000073961;ENSDARG00000039579;ENSDARG00000039005	37.10114	51.2603	31.037038903394127	19.293757	27.8693	16.469618077592052	72.35642333333334	94.2836	57.18798700466411	1.50952;58.5336;51.2603	0.305871;29.7061;27.8693	7.44967;115.336;94.2836	0						Exp 3,1(0.2);Linear,4(0.8)	Infinity	Infinity	1.5924749374389648	Infinity	NaN	3.3780648708343506	19.530416446767145	58.243111553232836	10.915274460709659	31.974233939290343	35.96073586390243	106.88921213609758	DOWN	0.4	0.6	0.0	
R-DRE-6798695	Neutrophil degranulation	228	300	17	11	4	15	15	12	17	3	3	26	297	4566	0.90157	0.26137	0.42007	1.0	792922;553553;437015	si:ch211-160j14.2;cfd;trappc1	ENSDARG00000073961;ENSDARG00000039579;ENSDARG00000039005		37.10114	51.2603	1.50952	31.037038903394127	12.540007733174836	26.43431197276884	19.293757	27.8693	0.305871	16.469618077592052	6.212246533848377	14.122291334736254	72.35642333333334	94.2836	7.44967	57.18798700466411	27.482795604138293	48.22452141461556					1.50952;58.5336;51.2603	0.305871;29.7061;27.8693	7.44967;115.336;94.2836	0	3	0															3	792922;553553;437015	ENSDARG00000073961;ENSDARG00000039579;ENSDARG00000039005	37.10114	51.2603	31.037038903394127	19.293757	27.8693	16.469618077592052	72.35642333333334	94.2836	57.18798700466411	1.50952;58.5336;51.2603	0.305871;29.7061;27.8693	7.44967;115.336;94.2836	0						Exp 3,1(0.34);Linear,2(0.67)	Infinity	Infinity	1.5924749374389648	Infinity	NaN	NaN	1.9794241791819758	72.22285582081803	0.6566296761257284	37.93088432387427	7.64212393788425	137.0707227287824	DOWN	0.0	1.0	0.0	
R-DRE-76002	Platelet activation, signaling and aggregation	99	141	9	6	2	9	9	9	9	2	2	27	139	4724	0.95041	0.20303	0.20303	1.42	767657;553553	abhd12;cfd	ENSDARG00000071004;ENSDARG00000039579		71.5243	71.5243	58.5336	18.371624124720242	72.12510707406143	18.35196541789235	31.38655	31.38655	29.7061	2.376515180889902	31.464269156597144	2.373972171360865	165.67249999999999	165.67249999999999	115.336	71.18656098239335	168.00051352378952	71.11038721991413					84.515;58.5336	33.067;29.7061	216.009;115.336	0	2	0															2	767657;553553	ENSDARG00000071004;ENSDARG00000039579	71.5243	71.5243	18.371624124720242	31.38655	31.38655	2.376515180889902	165.67249999999999	165.67249999999999	71.18656098239335	84.515;58.5336	33.067;29.7061	216.009;115.336	0						Linear,2(1)	1.937143792454513	3.916232466697693	1.672296166419983	2.24393630027771	0.40421061504918454	1.9581162333488464	46.062528	96.986072	28.092868	34.680232000000004	67.01296	264.33203999999995	DOWN	0.0	1.0	0.0	
R-DRE-76005	Response to elevated platelet cytosolic Ca2+	50	71	5	3	1	5	5	5	5	1	1	28	70	4793	0.93443	0.34636	0.34636	1.41	553553	cfd	ENSDARG00000039579		58.5336	58.5336	58.5336		58.5336		29.7061	29.7061	29.7061		29.7061		115.336	115.336	115.336		115.33599999999998						58.5336	29.7061	115.336	0	1	0															1	553553	ENSDARG00000039579	58.5336	58.5336		29.7061	29.7061		115.336	115.336		58.5336	29.7061	115.336	0						Linear,1(1)	1.672296166419983	1.672296166419983	1.672296166419983	1.672296166419983	0.0	1.672296166419983	58.5336	58.5336	29.7061	29.7061	115.336	115.336	DOWN	0.0	1.0	0.0	
R-DRE-1430728	Metabolism	815	1029	49	34	14	37	37	30	49	6	6	23	1023	3840	0.58903	0.59153	1.0	0.58	561810;554095;553384;436914;403031;402943	dnph1;fabp1b.1;cox10;acss2;rab4a;stard10	ENSDARG00000075730;ENSDARG00000059227;ENSDARG00000034309;ENSDARG00000037781;ENSDARG00000019144;ENSDARG00000097718		48.69823766666667	50.74695	0.201926	30.27227668928969	48.34929284673477	25.68238919733993	23.7106158	27.6036	0.0364948	12.134545727460663	24.57622451782317	10.128172630438733	104.03314166666667	93.62275	1.11725	84.4370302592436	98.50795085828791	72.2594253578064					92.0486;60.5176;57.335;37.9274;0.201926;44.1589	33.5239;30.1468;29.5537;23.3493;0.0364948;25.6535	252.744;121.485;111.232;61.6071;1.11725;76.0135	3	3	3	554095;436914;402943	ENSDARG00000059227;ENSDARG00000037781;ENSDARG00000097718	47.53463333333334	44.1589	11.667303272964702	26.3832	25.6535	3.456999874168376	86.36853333333333	76.0135	31.25317205666227	60.5176;37.9274;44.1589	30.1468;23.3493;25.6535	121.485;61.6071;76.0135	3	561810;553384;403031	ENSDARG00000075730;ENSDARG00000034309;ENSDARG00000019144	49.861841999999996	57.335	46.377138215777094	21.0380316	29.5537	18.29587475310529	121.69775	111.232	126.13942393711612	92.0486;57.335;0.201926	33.5239;29.5537;0.0364948	252.744;111.232;1.11725	0						Hill,1(0.17);Linear,5(0.84)	Infinity	Infinity	1.5967966318130493	Infinity	NaN	2.4840972423553467	24.475371461237586	72.92110387209574	14.000957004368876	33.42027459563112	36.4694460865106	171.59683724682273	CONFLICT	0.5	0.5	0.0	
R-DRE-156580	Phase II - Conjugation of compounds	44	48	3	2	1	3	3	2	3	0	0	29	48	4815	0.75068	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-211859	Biological oxidations	97	112	8	7	3	8	8	6	8	1	1	28	111	4752	0.85836	0.49014	0.49014	0.89	436914	acss2	ENSDARG00000037781		37.9274	37.9274	37.9274		37.9274		23.3493	23.3493	23.3493		23.3493		61.6071	61.6071	61.6071		61.6071						37.9274	23.3493	61.6071	1	0	1	436914	ENSDARG00000037781	37.9274	37.9274		23.3493	23.3493		61.6071	61.6071		37.9274	23.3493	61.6071	0															0						Linear,1(1)	1.7204608917236328	1.7204608917236328	1.7204608917236328	1.7204608917236328	0.0	1.7204608917236328	37.9274	37.9274	23.3493	23.3493	61.6071	61.6071	UP	1.0	0.0	0.0	
