sample,chemical,dose
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BaP_1.csv,BaP_24,1
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BaP_2.csv,BaP_24,1
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitA_1_1.csv,BitA_24,1
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitA_1_2.csv,BitA_24,1
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitA_3_1.csv,BitA_24,3
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitA_3_2.csv,BitA_24,3
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitA_7_1.csv,BitA_24,7
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitA_7_2.csv,BitA_24,7
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitA_14_1.csv,BitA_24,14
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitA_14_2.csv,BitA_24,14
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitA_28_1.csv,BitA_24,28
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitA_28_2.csv,BitA_24,28
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitA_57 _1.csv,BitA_24,57
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitA_57 _2.csv,BitA_24,57
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitB_2_1.csv,BitB_24,2
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitB_2_2.csv,BitB_24,2
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitB_5_1.csv,BitB_24,5
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitB_5_2.csv,BitB_24,5
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitB_10_1.csv,BitB_24,10
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitB_10_2.csv,BitB_24,10
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitB_20_1.csv,BitB_24,20
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitB_20_2.csv,BitB_24,20
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitB_41_1.csv,BitB_24,41
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitB_41_2.csv,BitB_24,41
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitB_82_1.csv,BitB_24,82
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitB_82_2.csv,BitB_24,82
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitC_1_1.csv,BitC_24,1
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitC_1_2.csv,BitC_24,1
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitC_3_1.csv,BitC_24,3
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitC_3_2.csv,BitC_24,3
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitC_6_1.csv,BitC_24,6
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitC_6_2.csv,BitC_24,6
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitC_12_1.csv,BitC_24,12
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitC_12_2.csv,BitC_24,12
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitC_24_1.csv,BitC_24,24
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitC_24_2.csv,BitC_24,24
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitC_45_1.csv,BitC_24,45
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_BitC_45_2.csv,BitC_24,45
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_DMSO_1.csv,DMSO_24,0
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_DMSO_2.csv,DMSO_24,0
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_MB_1.csv,MB_24,1
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_MB_2.csv,MB_24,1
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_NIST_1.csv,NIST_24,1
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\24_NIST_2.csv,NIST_24,1
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BaP_1.csv,BaP_24,1
C:\Users\tyler\git_test\MolToxLab\Helina Project V2\TempRawFiles\Output\BaP_2.csv,BaP_24,1
