Gene Ontology Analyses
GO Category: ALL
GO File Creation Date: 10/06/22
Deduplicate Gene Sets: false
Data Source: Analine_R-ODAF_DESeq2_Norm_Data_renamed_4_Tylers_WF
Work Source: Analine_R-ODAF_DESeq2_Norm_Data_renamed_4_Tylers_WF_williams_0.05_NOMTC_foldfilter1.5_BMD_1
BMDExpress3 Version: BMDExpress 3.00.0045 BETA
Timestamp (Start Time): 07/14/2023 21:01.03
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 2183
Total Run Time: 2 seconds

GO/Pathway/Gene Set/Gene ID	GO Level	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMDL at 5th Percentile of Total Genes	BMDL at 10th Percentile of Total Genes	BMDU at 5th Percentile of Total Genes	BMDU at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
all	0	all	15647	19076	242	218	100	218	218	212	242	90	90	0	18986	0	1.0	1.0	1.0	0.47	108179098;100535246;100332647;100330921;100329456;100170806;100151256;100151026;100141481;100136861;100038783;100005030;100003553;100001249;100000252;799957;799320;799085;797513;795414;795372;795084;793871;777621;768193;767792;723996;664763;572278;571915;570968;570908;568894;567916;567635;567631;567242;565875;565874;565869;564970;564249;562682;562460;561905;560912;560719;560202;558285;557352;554230;554157;554036;553940;553461;553211;550514;550363;541520;541429;541427;541346;503741;503536;503531;492482;474346;445287;445158;445151;445036;431765;415223;402987;402973;399485;393971;393891;393481;393153;393136;368919;368419;337572;326672;321250;64265;64263;30689;30671	si:dkey-121n8.7;si:ch73-352p18.4;si:ch211-198m17.1;guca1a;igsf10;snx19a;cmbl;arhgef40;ccl39.3;cishb;zgc:162971;si:ch73-367f21.6;dis3;si:dkey-166k12.1;pik3r3b;cyp2ad6;znf365;abhd6a;b3gnt2l;relb;gpr45;igfbp5a;desi1b;stk17al;fam167aa;rsph10b;tnfaip8l2a;si:ch73-130a3.4;cx52.7;si:dkey-9i23.16;rnf144aa;zgc:194209;zgc:158398;stxbp4;tmem130;tg;cnga3a;nr1i2;znf692;klf9;slc2a11b;lyve1b;si:dkey-251i10.2;ppp2r5a;mlpha;si:dkey-92j12.5;si:dkey-206f10.1;ghrb;si:dkey-188i13.10;fstl3;kdr;ctss2.1;cyp26c1;pcdh1gb9;si:dkey-147f3.8;st8sia4;utp23;ms4a17a.11;cdcp1a;aoc2;bscl2l;hdhd2;zgc:113337;rbbp8;zgc:113518;eif4ebp3;mag;hpdb;slc16a9b;entpd1;grifin;nfil3-6;trim63a;cga;nrp1b;cyp2p10;pdk2b;fbxo32;cyp2k6;serpine2;cpne3;synpr;ccdc80;ctss2.2;ets2;zgc:66433;aox5;gch2;epha2a;hsp70.3	ENSDARG00000094067;ENSDARG00000088584;ENSDARG00000091834;ENSDARG00000100747;ENSDARG00000077497;ENSDARG00000061101;ENSDARG00000073786;ENSDARG00000078979;ENSDARG00000100295;ENSDARG00000016773;ENSDARG00000101093;ENSDARG00000089953;ENSDARG00000060559;ENSDARG00000054690;ENSDARG00000034409;ENSDARG00000042956;ENSDARG00000087985;ENSDARG00000060756;ENSDARG00000068219;ENSDARG00000086173;ENSDARG00000063357;ENSDARG00000039264;ENSDARG00000089529;ENSDARG00000015922;ENSDARG00000067665;ENSDARG00000051891;ENSDARG00000075592;ENSDARG00000056213;ENSDARG00000057792;ENSDARG00000093954;ENSDARG00000020600;ENSDARG00000039356;ENSDARG00000074226;ENSDARG00000076997;ENSDARG00000103789;ENSDARG00000020084;ENSDARG00000070726;ENSDARG00000029766;ENSDARG00000078434;ENSDARG00000068194;ENSDARG00000063288;ENSDARG00000062483;ENSDARG00000093957;ENSDARG00000027017;ENSDARG00000070991;ENSDARG00000094677;ENSDARG00000032838;ENSDARG00000007671;ENSDARG00000075151;ENSDARG00000025670;ENSDARG00000017321;ENSDARG00000074656;ENSDARG00000056029;ENSDARG00000088475;ENSDARG00000071029;ENSDARG00000103600;ENSDARG00000105012;ENSDARG00000094809;ENSDARG00000058943;ENSDARG00000014646;ENSDARG00000025912;ENSDARG00000024728;ENSDARG00000041998;ENSDARG00000043480;ENSDARG00000015482;ENSDARG00000054916;ENSDARG00000104023;ENSDARG00000044935;ENSDARG00000104687;ENSDARG00000045066;ENSDARG00000033382;ENSDARG00000087188;ENSDARG00000028027;ENSDARG00000040479;ENSDARG00000027290;ENSDARG00000042990;ENSDARG00000059054;ENSDARG00000040277;ENSDARG00000098995;ENSDARG00000029353;ENSDARG00000104177;ENSDARG00000044278;ENSDARG00000000002;ENSDARG00000013771;ENSDARG00000103980;ENSDARG00000071697;ENSDARG00000071475;ENSDARG00000099101;ENSDARG00000017354;ENSDARG00000021924	553461(-0.05455)	1.9003352588888893	0.931114	0.0102643	1.7074265820033638	1.752643388551207	1.6080007967892962	1.036226447777778	0.23422949999999998	0.0021883	1.0171565507965135	0.9475420168640085	0.9731493109080387	3.771201757777778	3.48318	0.0481452	2.9712279810795104	3.581695796461371	2.7922773240956404									0.0102643;0.422801;0.666408;1.0029;0.906482;3.86833;3.7969;0.60297;2.14439;0.593134;0.959542;5.93323;0.420612;0.630523;2.93188;0.451483;0.413028;3.74626;0.939821;3.7943;0.55775;0.411874;0.610461;3.18083;6.1159;3.94832;0.511283;0.222539;3.90989;0.928754;0.451288;0.672207;0.414258;2.23222;4.37519;2.61005;3.34308;0.688319;3.83195;3.20454;2.49365;0.948687;1.84788;0.653854;0.425567;2.60462;3.61994;0.459226;6.37665;3.08118;0.933474;3.32469;0.347031;1.06784;0.771072;0.565326;4.97477;0.568121;5.20111;0.773393;4.11751;0.571793;0.911663;3.96311;0.295853;0.612396;0.44683;0.729259;4.56194;0.908682;4.55729;2.46761;0.960912;1.33181;0.578946;0.316143;0.782001;0.59911;2.84327;4.13701;0.530053;0.353425;0.636766;0.837901;0.276461;4.51345;2.63606;2.82706;0.172267;5.05955	0.0021883;0.211198;0.240331;0.205378;0.221084;2.31319;2.28477;0.233344;1.46798;0.233289;0.214993;2.92363;0.211245;0.235678;1.89547;0.216613;0.208888;2.26387;0.216157;2.28365;0.23069;0.208614;0.232695;2.01569;2.96212;2.34472;0.226053;0.142401;2.3298;0.218843;0.216629;0.2354;0.210199;1.51908;2.50284;1.72934;2.09081;0.235701;2.29938;2.02709;1.66598;0.211494;1.28865;0.240619;0.210968;1.72633;2.2117;0.217815;3.00679;1.96843;0.217766;2.08285;0.192514;0.198097;0.234418;0.231341;2.69009;0.231004;2.75284;0.231527;2.40845;0.232364;0.222129;2.34987;0.173876;0.232213;0.215944;0.234041;2.5627;0.221095;2.56156;1.65185;0.213091;0.957242;0.232649;0.181287;0.229878;0.231099;1.8507;2.41557;0.228112;0.193666;0.235358;0.225375;0.166296;2.54677;1.74306;1.8426;0.116021;2.71325	0.0481452;0.846412;1.84787;4.89738;3.71672;6.469;6.30981;1.5581;3.13246;1.50804;4.28257;12.0409;0.837484;1.68687;4.53496;0.941021;0.81667;6.19932;4.08621;6.30427;1.3485;0.813175;1.60151;5.01945;12.6275;6.64867;1.15641;0.347778;6.56161;3.94157;0.940139;1.91955;0.816413;3.28014;7.64824;3.93928;5.3454;2.0101;6.386;5.06593;3.7325;4.25547;2.64981;1.77678;0.858456;3.92975;5.92486;0.968202;13.5233;4.82295;4.00142;5.30694;0.625567;5.75614;2.53629;1.38148;9.19983;1.39721;9.82678;2.58345;7.03931;1.40704;3.74166;6.6839;0.503401;1.61502;0.924576;2.27233;8.12084;3.73461;8.10793;3.68622;4.33314;1.85296;1.4407;0.551318;2.66022;1.55316;4.36819;7.08522;1.23166;0.644973;1.72278;3.11515;0.459607;7.99884;3.98654;4.33749;0.255781;9.43483	34	56	34	108179098;100535246;100330921;100151256;100141481;100005030;795414;777621;768193;664763;567635;567631;565869;564970;562682;557352;554157;554036;550514;541427;541346;503531;445036;402987;399485;393481;393153;368919;326672;321250;64265;64263;30689;30671	ENSDARG00000094067;ENSDARG00000088584;ENSDARG00000100747;ENSDARG00000073786;ENSDARG00000100295;ENSDARG00000089953;ENSDARG00000086173;ENSDARG00000015922;ENSDARG00000067665;ENSDARG00000056213;ENSDARG00000103789;ENSDARG00000020084;ENSDARG00000068194;ENSDARG00000063288;ENSDARG00000093957;ENSDARG00000025670;ENSDARG00000074656;ENSDARG00000056029;ENSDARG00000105012;ENSDARG00000025912;ENSDARG00000024728;ENSDARG00000015482;ENSDARG00000033382;ENSDARG00000040479;ENSDARG00000042990;ENSDARG00000098995;ENSDARG00000029353;ENSDARG00000044278;ENSDARG00000103980;ENSDARG00000071697;ENSDARG00000071475;ENSDARG00000099101;ENSDARG00000017354;ENSDARG00000021924	2.5556466852941178	2.73156	1.8499032526079764	1.492632391176471	1.79283	1.0244562845077863	4.488193594117647	4.3528400000000005	3.4595300512641405	0.0102643;0.422801;1.0029;3.7969;2.14439;5.93323;3.7943;3.18083;6.1159;0.222539;4.37519;2.61005;3.20454;2.49365;1.84788;3.08118;3.32469;0.347031;4.97477;4.11751;0.571793;0.295853;4.55729;1.33181;0.316143;2.84327;4.13701;0.353425;0.276461;4.51345;2.63606;2.82706;0.172267;5.05955	0.0021883;0.211198;0.205378;2.28477;1.46798;2.92363;2.28365;2.01569;2.96212;0.142401;2.50284;1.72934;2.02709;1.66598;1.28865;1.96843;2.08285;0.192514;2.69009;2.40845;0.232364;0.173876;2.56156;0.957242;0.181287;1.8507;2.41557;0.193666;0.166296;2.54677;1.74306;1.8426;0.116021;2.71325	0.0481452;0.846412;4.89738;6.30981;3.13246;12.0409;6.30427;5.01945;12.6275;0.347778;7.64824;3.93928;5.06593;3.7325;2.64981;4.82295;5.30694;0.625567;9.19983;7.03931;1.40704;0.503401;8.10793;1.85296;0.551318;4.36819;7.08522;0.644973;0.459607;7.99884;3.98654;4.33749;0.255781;9.43483	56	100332647;100329456;100170806;100151026;100136861;100038783;100003553;100001249;100000252;799957;799320;799085;797513;795372;795084;793871;767792;723996;572278;571915;570968;570908;568894;567916;567242;565875;565874;564249;562460;561905;560912;560719;560202;558285;554230;553940;553461;553211;550363;541520;541429;503741;503536;492482;474346;445287;445158;445151;431765;415223;402973;393971;393891;393136;368419;337572	ENSDARG00000091834;ENSDARG00000077497;ENSDARG00000061101;ENSDARG00000078979;ENSDARG00000016773;ENSDARG00000101093;ENSDARG00000060559;ENSDARG00000054690;ENSDARG00000034409;ENSDARG00000042956;ENSDARG00000087985;ENSDARG00000060756;ENSDARG00000068219;ENSDARG00000063357;ENSDARG00000039264;ENSDARG00000089529;ENSDARG00000051891;ENSDARG00000075592;ENSDARG00000057792;ENSDARG00000093954;ENSDARG00000020600;ENSDARG00000039356;ENSDARG00000074226;ENSDARG00000076997;ENSDARG00000070726;ENSDARG00000029766;ENSDARG00000078434;ENSDARG00000062483;ENSDARG00000027017;ENSDARG00000070991;ENSDARG00000094677;ENSDARG00000032838;ENSDARG00000007671;ENSDARG00000075151;ENSDARG00000017321;ENSDARG00000088475;ENSDARG00000071029;ENSDARG00000103600;ENSDARG00000094809;ENSDARG00000058943;ENSDARG00000014646;ENSDARG00000041998;ENSDARG00000043480;ENSDARG00000054916;ENSDARG00000104023;ENSDARG00000044935;ENSDARG00000104687;ENSDARG00000045066;ENSDARG00000087188;ENSDARG00000028027;ENSDARG00000027290;ENSDARG00000059054;ENSDARG00000040277;ENSDARG00000104177;ENSDARG00000000002;ENSDARG00000013771	1.5024676071428573	0.7722325	1.4958491375308443	0.7591228392857143	0.23187000000000002	0.9151627227023375	3.3358852857142858	2.55987	2.5678546998921576	0.666408;0.906482;3.86833;0.60297;0.593134;0.959542;0.420612;0.630523;2.93188;0.451483;0.413028;3.74626;0.939821;0.55775;0.411874;0.610461;3.94832;0.511283;3.90989;0.928754;0.451288;0.672207;0.414258;2.23222;3.34308;0.688319;3.83195;0.948687;0.653854;0.425567;2.60462;3.61994;0.459226;6.37665;0.933474;1.06784;0.771072;0.565326;0.568121;5.20111;0.773393;0.911663;3.96311;0.612396;0.44683;0.729259;4.56194;0.908682;2.46761;0.960912;0.578946;0.782001;0.59911;0.530053;0.636766;0.837901	0.240331;0.221084;2.31319;0.233344;0.233289;0.214993;0.211245;0.235678;1.89547;0.216613;0.208888;2.26387;0.216157;0.23069;0.208614;0.232695;2.34472;0.226053;2.3298;0.218843;0.216629;0.2354;0.210199;1.51908;2.09081;0.235701;2.29938;0.211494;0.240619;0.210968;1.72633;2.2117;0.217815;3.00679;0.217766;0.198097;0.234418;0.231341;0.231004;2.75284;0.231527;0.222129;2.34987;0.232213;0.215944;0.234041;2.5627;0.221095;1.65185;0.213091;0.232649;0.229878;0.231099;0.228112;0.235358;0.225375	1.84787;3.71672;6.469;1.5581;1.50804;4.28257;0.837484;1.68687;4.53496;0.941021;0.81667;6.19932;4.08621;1.3485;0.813175;1.60151;6.64867;1.15641;6.56161;3.94157;0.940139;1.91955;0.816413;3.28014;5.3454;2.0101;6.386;4.25547;1.77678;0.858456;3.92975;5.92486;0.968202;13.5233;4.00142;5.75614;2.53629;1.38148;1.39721;9.82678;2.58345;3.74166;6.6839;1.61502;0.924576;2.27233;8.12084;3.73461;3.68622;4.33314;1.4407;2.66022;1.55316;1.23166;1.72278;3.11515	0						Hill,1(0.02);Linear,38(0.43);Poly 2,51(0.57)	2.1365520945131933	213.13260638713837	1.5081138610839844	12.35396957397461	1.6221401384717058	1.920797884464264	1.5475772723612917	2.2530932454164856	0.8260797271958982	1.2463731683596562	3.1573396970792276	4.385063818476325	DOWN	0.37777777777777777	0.6222222222222222	0.0	
GO:0000018	7	regulation of DNA recombination	22	38	2	2	1	2	2	2	2	1	1	89	37	18949	0.98614	0.16463	0.16463	2.63	799320	znf365	ENSDARG00000087985		0.413028	0.413028	0.413028		0.413028		0.208888	0.208888	0.208888		0.208888		0.81667	0.81667	0.81667		0.81667										0.413028	0.208888	0.81667	0	1	0															1	799320	ENSDARG00000087985	0.413028	0.413028		0.208888	0.208888		0.81667	0.81667		0.413028	0.208888	0.81667	0						Poly 2,1(1)	4.2750983238220215	4.2750983238220215	4.2750983238220215	4.2750983238220215	0.0	4.2750983238220215	0.413028	0.413028	0.208888	0.208888	0.81667	0.81667	DOWN	0.0	1.0	0.0	
GO:0000026	7	alpha-1,2-mannosyltransferase activity	4	4	1	1	0	1	1	1	1	0	0	90	4	18982	0.98126	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000030	6	mannosyltransferase activity	20	20	1	1	0	1	1	1	1	0	0	90	20	18966	0.90971	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000041	8	transition metal ion transport	56	70	1	0	0	0	0	0	1	0	0	90	70	18916	0.71774	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000062	8	fatty-acyl-CoA binding	16	17	2	2	0	2	2	2	2	0	0	90	17	18969	0.92272	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000079	8	regulation of cyclin-dependent protein serine/threonine kinase activity	29	35	1	0	0	0	0	0	1	0	0	90	35	18951	0.84733	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000122	9	negative regulation of transcription by RNA polymerase II	206	223	1	1	1	1	1	1	1	1	1	89	222	18764	0.71645	0.65382	1.0	0.45	565875	nr1i2	ENSDARG00000029766		0.688319	0.688319	0.688319		0.688319		0.235701	0.235701	0.235701		0.235701		2.0101	2.0101	2.0101		2.0101										0.688319	0.235701	2.0101	0	1	0															1	565875	ENSDARG00000029766	0.688319	0.688319		0.235701	0.235701		2.0101	2.0101		0.688319	0.235701	2.0101	0						Poly 2,1(1)	2.2165348529815674	2.2165348529815674	2.2165348529815674	2.2165348529815674	0.0	2.2165348529815674	0.688319	0.688319	0.235701	0.235701	2.0101	2.0101	DOWN	0.0	1.0	0.0	
GO:0000139	6	Golgi membrane	227	261	2	2	2	2	2	2	2	2	2	88	259	18727	0.8742	0.34944	0.34944	0.77	797513;445287	b3gnt2l;hpdb	ENSDARG00000068219;ENSDARG00000044935		0.8345400000000001	0.8345400000000001	0.729259	0.14888981806020105	0.8375077210056822	0.14883065270993212	0.225099	0.225099	0.216157	0.012645897674740315	0.22484693779283246	0.01264087248916912	3.1792700000000003	3.1792700000000003	2.27233	1.2826068482586543	3.2048353431188272	1.2820971701327588									0.939821;0.729259	0.216157;0.234041	4.08621;2.27233	0	2	0															2	797513;445287	ENSDARG00000068219;ENSDARG00000044935	0.8345400000000001	0.8345400000000001	0.14888981806020105	0.225099	0.225099	0.012645897674740315	3.1792700000000003	3.1792700000000003	1.2826068482586543	0.939821;0.729259	0.216157;0.234041	4.08621;2.27233	0						Poly 2,2(1)	4.5880754777145585	14.057910680770874	1.7039411067962646	12.35396957397461	7.53070734897158	7.028955340385437	0.6281892400000001	1.04089076	0.20757267999999998	0.24262532	1.4016676000000003	4.9568724	DOWN	0.0	1.0	0.0	
GO:0000145	4	exocyst	13	18	1	1	0	0	0	0	1	0	0	90	18	18968	0.91836	1.0	1.0	0.0																																		0	0	0															0															0																							
