gene.id	mod.name	b	c	d	e	f	SDres	AIC.model	lof.p	ctrl	adv.incr	bmd	bmdl	bmdu	bmr	conv.pass	hd.pass	CI.pass	ld.pass	all.pass
ENSDARG00000000369	Exp3	0.000511506101086712	NA	0.358083397489717	7.17677508344134	NA	0.203368175665212	-0.24	0.970263525746987	7.19575969430429	TRUE	0.114502069179275	0.0204706256272014	0.341321438586931	7.39912786996951	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000001498	Exp2	0.0538209506514521	NA	NA	4.11802610828209	NA	0.378732653285494	16.39	0.199153491699011	3.99134157447855	TRUE	1.10377171436572	0.217100592787862	2.03493299972312	4.37007422776405	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000001559	Exp2	-0.029245160973037	NA	NA	8.33689171841273	NA	0.512701420070627	24.87	0.364494780614151	8.53938193668303	FALSE	1.29660391100091	0.0856805936963731	2.46607553441127	8.02668051661241	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000001817	Poly2	4.50294838195568	-3.08218920576695	0.972010962557031	NA	NA	0.317844328014137	12.26	0.366226504898234	4.51272137096464	FALSE	0.10331853854641	0.0458449236715784	0.163114776241971	4.19487704295051	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000001968	Exp2	-0.0396385659719775	NA	NA	6.16835859070095	NA	0.248395131161462	4.58	0.155101335523246	6.41792669544993	FALSE	NA	NA	NA	6.16953156428846	FALSE	NA	NA	NA	FALSE
ENSDARG00000002241	Poly2	4.84615044476081	-3.87064766074216	1.25072543645327	NA	NA	0.342932451791071	14.39	0.588113072829043	5.0130335276867	FALSE	0.0461720502184117	NA	0.095486502253394	4.67010107589563	FALSE	TRUE	NA	NA	FALSE
ENSDARG00000002355	Exp4	35.057801229032	0.838964196015693	NA	4.50021460324147	NA	0.279551113298265	8.67	0.512427161069875	4.58013076559346	FALSE	0.00919161688923015	0.00151890012383853	0.0188427568392372	4.30057965229519	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000002600	Exp2	-0.022581056958982	NA	NA	9.18329553130825	NA	0.409885447901179	18.6	0.358126115004322	9.43610590136213	FALSE	0.764020568093289	NA	1.86374913509359	9.02622045346095	FALSE	TRUE	NA	NA	FALSE
ENSDARG00000003046	Exp2	-0.0201915674086395	NA	NA	7.59069491792214	NA	0.30088837457421	9.94	0.547937534150047	7.78565111759239	FALSE	0.696024361031526	NA	1.78808694056036	7.48476274301818	FALSE	TRUE	NA	NA	FALSE
ENSDARG00000004243	Exp2	-0.0542827730464952	NA	NA	5.69871288947669	NA	0.396200071457949	17.65	0.682416641347641	5.56964236852662	FALSE	1.78145012534815	1.03070286411298	2.50277227992512	5.17344229706867	TRUE	TRUE	TRUE	TRUE	TRUE
