Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 03/16/22
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: BPAF_DeSeq_normDataF2
Work Source: BPAF_DeSeq_normDataF2_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0020 BETA
Timestamp (Start Time): 04/27/2022 18:44.58
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 838
Total Run Time: 19 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	252	307	30	25	18	17	17	13	30	7	7	74	300	4511	0.86637	0.24429	0.35227	2.28	553553;449979;393153;359833;336933;334571;107988037	cfd;kif20ba;serpine2;tfpia;rhogb;prkcda;ino80e	ENSDARG00000039579;ENSDARG00000071009;ENSDARG00000029353;ENSDARG00000034718;ENSDARG00000004301;ENSDARG00000009208;ENSDARG00000101892		272.751643	242.836	0.875241	283.1284391188516	183.60292352121283	268.1970290516056	147.1942681428571	167.804	0.171662	142.88760973037967	99.33576063699714	138.51874286617274	514.2514571428571	351.417	2.09477	575.1385468068978	345.5813127811346	532.7697480601707					10.0978;1.16546;414.392;0.875241;242.836;653.567;586.328	6.64579;0.648425;247.065;0.171662;167.804;310.061;297.964	15.3429;2.09477;695.043;4.46253;351.417;1377.63;1153.77	6	1	6	553553;449979;393153;359833;336933;107988037	ENSDARG00000039579;ENSDARG00000071009;ENSDARG00000029353;ENSDARG00000034718;ENSDARG00000004301;ENSDARG00000101892	209.28241683333331	126.46690000000001	249.71178829965282	120.04981283333332	87.224895	135.31793156609865	370.3550333333333	183.37994999999998	472.23860392004315	10.0978;1.16546;414.392;0.875241;242.836;586.328	6.64579;0.648425;247.065;0.171662;167.804;297.964	15.3429;2.09477;695.043;4.46253;351.417;1153.77	1	334571	ENSDARG00000009208	653.567	653.567		310.061	310.061		1377.63	1377.63		653.567	310.061	1377.63	0						Hill,3(0.43);Linear,4(0.58)	2.4651992638603546	18.368455171585083	1.7313776016235352	5.137338161468506	1.1565636594570923	2.247127056121826	63.00716008045566	482.49612591954434	41.34164552472667	253.0468907609876	88.18285915057982	940.3200551351345	UP	0.8571428571428571	0.14285714285714285	0.0	
R-DRE-114608	Platelet degranulation 	52	69	9	7	5	6	6	4	9	2	2	79	67	4744	0.89451	0.31724	0.31724	2.9	553553;107988037	cfd;ino80e	ENSDARG00000039579;ENSDARG00000101892		298.2129	298.2129	10.0978	407.4562819444805	208.82370214519537	387.349666722161	152.304895	152.304895	6.64579	205.99308177412672	107.11340536200892	195.82800685142237	584.55645	584.55645	15.3429	804.9895222965358	407.9550061930432	765.2659610212659					10.0978;586.328	6.64579;297.964	15.3429;1153.77	2	0	2	553553;107988037	ENSDARG00000039579;ENSDARG00000101892	298.2129	298.2129	407.4562819444805	152.304895	152.304895	205.99308177412672	584.55645	584.55645	804.9895222965358	10.0978;586.328	6.64579;297.964	15.3429;1153.77	0															0						Hill,1(0.5);Linear,1(0.5)	2.123770535542345	4.254312753677368	2.007185697555542	2.247127056121826	0.16966416172933244	2.127156376838684	-266.4926959999999	862.9184959999999	-133.18695079999995	437.79674079999995	-531.1021079999999	1700.2150079999997	UP	1.0	0.0	0.0	
R-DRE-168249	Innate Immune System	411	502	49	39	26	27	27	20	49	10	10	71	492	4319	0.79545	0.31683	0.46463	1.99	797351;791159;553553;415202;405783;386701;336933;336334;334571;100126123	krt5;galns;cfd;psmd4a;ostf1;tubb5;rhogb;eef1a1a;prkcda;hsp70.1	ENSDARG00000058371;ENSDARG00000051853;ENSDARG00000039579;ENSDARG00000101295;ENSDARG00000091555;ENSDARG00000037997;ENSDARG00000004301;ENSDARG00000039502;ENSDARG00000009208;ENSDARG00000092362		260.88729920000003	259.074	0.493732	246.89934615957262	237.69822371636744	238.33140102841298	146.7650239	176.12650000000002	0.102749	130.8669963421516	135.8247983757663	131.3764425329551	477.235628	381.177	2.37248	478.7580467869649	426.6503383274126	443.6865173443971					0.493732;416.288;10.0978;550.548;436.385;19.8638;242.836;3.48166;653.567;275.312	0.102749;250.18;6.64579;289.061;254.979;3.51035;167.804;0.85735;310.061;184.449	2.37248;692.683;15.3429;1048.58;746.853;112.402;351.417;14.1389;1377.63;410.937	7	3	7	797351;791159;553553;415202;405783;336933;100126123	ENSDARG00000058371;ENSDARG00000051853;ENSDARG00000039579;ENSDARG00000101295;ENSDARG00000091555;ENSDARG00000004301;ENSDARG00000092362	275.99436171428573	275.312	211.537499891704	164.74593414285712	184.449	117.89530521106627	466.8836257142857	410.937	388.12821719051794	0.493732;416.288;10.0978;550.548;436.385;242.836;275.312	0.102749;250.18;6.64579;289.061;254.979;167.804;184.449	2.37248;692.683;15.3429;1048.58;746.853;351.417;410.937	3	386701;336334;334571	ENSDARG00000037997;ENSDARG00000039502;ENSDARG00000009208	225.63748666666666	19.8638	370.68833932836696	104.80956666666667	3.51035	177.75790493334136	501.3903	112.402	760.4346902249201	19.8638;3.48166;653.567	3.51035;0.85735;310.061	112.402;14.1389;1377.63	0						Exp 5,1(0.1);Hill,3(0.3);Linear,6(0.6)	2.1780625357766072	22.254208207130432	1.5122684240341187	2.908687114715576	0.4866276237488961	2.110714554786682	107.85749901256321	413.91709938743685	65.6528192187199	227.87722858128006	180.49831630786775	773.9729396921323	UP	0.7	0.3	0.0	
R-DRE-168256	Immune System	660	839	63	51	34	38	38	26	63	13	13	68	826	3985	0.46618	0.65049	0.88257	1.55	797939;797351;791159;678605;559776;553553;415202;405783;386701;336933;336334;334571;100126123	fbxl16;krt5;galns;crfb12;zgc:175088;cfd;psmd4a;ostf1;tubb5;rhogb;eef1a1a;prkcda;hsp70.1	ENSDARG00000060915;ENSDARG00000058371;ENSDARG00000051853;ENSDARG00000052413;ENSDARG00000099306;ENSDARG00000039579;ENSDARG00000101295;ENSDARG00000091555;ENSDARG00000037997;ENSDARG00000004301;ENSDARG00000039502;ENSDARG00000009208;ENSDARG00000092362		326.25553784615386	416.288	0.493732	252.65740366473247	277.83263124736413	238.088051413593	178.37232607692306	250.18	0.102749	128.85013251675633	157.34924231178073	129.6163067138982	610.5017138461537	692.683	2.37248	510.4549713290739	500.7090003247966	449.3952995554023					509.582;0.493732;416.288;438.065;684.802;10.0978;550.548;436.385;19.8638;242.836;3.48166;653.567;275.312	279.147;0.102749;250.18;256.27;315.773;6.64579;289.061;254.979;3.51035;167.804;0.85735;310.061;184.449	930.243;2.37248;692.683;748.823;1485.1;15.3429;1048.58;746.853;112.402;351.417;14.1389;1377.63;410.937	9	4	9	797351;791159;678605;559776;553553;415202;405783;336933;100126123	ENSDARG00000058371;ENSDARG00000051853;ENSDARG00000052413;ENSDARG00000099306;ENSDARG00000039579;ENSDARG00000101295;ENSDARG00000091555;ENSDARG00000004301;ENSDARG00000092362	339.4252813333334	416.288	230.66965719514764	191.69605988888887	250.18	116.213630707504	611.3453755555555	692.683	478.57767120503695	0.493732;416.288;438.065;684.802;10.0978;550.548;436.385;242.836;275.312	0.102749;250.18;256.27;315.773;6.64579;289.061;254.979;167.804;184.449	2.37248;692.683;748.823;1485.1;15.3429;1048.58;746.853;351.417;410.937	4	797939;386701;336334;334571	ENSDARG00000060915;ENSDARG00000037997;ENSDARG00000039502;ENSDARG00000009208	296.623615	264.7229	334.30926541010035	148.393925	141.328675	169.30337762777847	608.6034750000001	521.3225	656.8758926204928	509.582;19.8638;3.48166;653.567	279.147;3.51035;0.85735;310.061	930.243;112.402;14.1389;1377.63	0						Exp 5,1(0.08);Hill,3(0.24);Linear,9(0.7)	2.1759676693626693	29.03741455078125	1.5122684240341187	3.137192964553833	0.5343993879341884	2.08891224861145	188.90940868338149	463.60166700892614	108.32859616204544	248.41605599180073	333.01523054098055	887.9881971513271	UP	0.6923076923076923	0.3076923076923077	0.0	
R-DRE-6798695	Neutrophil degranulation	235	300	37	29	19	22	22	16	37	9	9	72	291	4520	0.9748	0.058303	0.094607	3.0	797351;791159;553553;405783;386701;336933;336334;334571;100126123	krt5;galns;cfd;ostf1;tubb5;rhogb;eef1a1a;prkcda;hsp70.1	ENSDARG00000058371;ENSDARG00000051853;ENSDARG00000039579;ENSDARG00000091555;ENSDARG00000037997;ENSDARG00000004301;ENSDARG00000039502;ENSDARG00000009208;ENSDARG00000092362		228.70277688888888	242.836	0.493732	238.59161535213352	225.98535483737282	235.3472505839455	130.9543598888889	167.804	0.102749	128.27587356068193	130.08774604841344	130.78128629257506	413.75292	351.417	2.37248	461.00142718301765	403.36574255220495	435.75140634150915					0.493732;416.288;10.0978;436.385;19.8638;242.836;3.48166;653.567;275.312	0.102749;250.18;6.64579;254.979;3.51035;167.804;0.85735;310.061;184.449	2.37248;692.683;15.3429;746.853;112.402;351.417;14.1389;1377.63;410.937	6	3	6	797351;791159;553553;405783;336933;100126123	ENSDARG00000058371;ENSDARG00000051853;ENSDARG00000039579;ENSDARG00000091555;ENSDARG00000004301;ENSDARG00000092362	230.235422	259.074	190.0240508377923	144.0267565	176.12650000000002	114.3379870494661	369.93423	381.177	319.0909882913032	0.493732;416.288;10.0978;436.385;242.836;275.312	0.102749;250.18;6.64579;254.979;167.804;184.449	2.37248;692.683;15.3429;746.853;351.417;410.937	3	386701;336334;334571	ENSDARG00000037997;ENSDARG00000039502;ENSDARG00000009208	225.63748666666666	19.8638	370.68833932836696	104.80956666666667	3.51035	177.75790493334136	501.3903	112.402	760.4346902249201	19.8638;3.48166;653.567	3.51035;0.85735;310.061	112.402;14.1389;1377.63	0						Exp 5,1(0.12);Hill,3(0.34);Linear,5(0.56)	2.268166603785126	20.741939783096313	1.781527042388916	2.908687114715576	0.4424593291250736	2.169942617416382	72.82292152549499	384.5826322522828	47.147455829243384	214.7612639485344	112.56532090709516	714.9405190929049	UP	0.6666666666666666	0.3333333333333333	0.0	
R-DRE-76002	Platelet activation, signaling and aggregation	115	141	16	14	10	9	9	7	16	4	4	77	137	4674	0.91676	0.20449	0.29623	2.84	553553;336933;334571;107988037	cfd;rhogb;prkcda;ino80e	ENSDARG00000039579;ENSDARG00000004301;ENSDARG00000009208;ENSDARG00000101892		373.2072	414.582	10.0978	301.588670767808	322.1575146906937	320.1397240335721	195.6186975	232.88400000000001	6.64579	141.48735951942618	167.83457195648742	153.50741242273554	724.539975	752.5935	15.3429	646.2574927424845	629.0045044499307	674.6269664146057					10.0978;242.836;653.567;586.328	6.64579;167.804;310.061;297.964	15.3429;351.417;1377.63;1153.77	3	1	3	553553;336933;107988037	ENSDARG00000039579;ENSDARG00000004301;ENSDARG00000101892	279.75393333333335	242.836	289.8836166450483	157.47126333333333	167.804	145.9337142495456	506.8433	351.417	584.9120160779482	10.0978;242.836;586.328	6.64579;167.804;297.964	15.3429;351.417;1153.77	1	334571	ENSDARG00000009208	653.567	653.567		310.061	310.061		1377.63	1377.63		653.567	310.061	1377.63	0						Hill,1(0.25);Linear,3(0.75)	2.293721772520046	9.252386331558228	2.007185697555542	2.8281309604644775	0.3576249973284306	2.208534836769104	77.65030264754802	668.7640973524519	56.96108517096235	334.27630982903764	91.20763211236522	1357.872317887635	UP	0.75	0.25	0.0	
R-DRE-76005	Response to elevated platelet cytosolic Ca2+	54	71	9	7	5	6	6	4	9	2	2	79	69	4742	0.88753	0.32948	0.32948	2.82	553553;107988037	cfd;ino80e	ENSDARG00000039579;ENSDARG00000101892		298.2129	298.2129	10.0978	407.4562819444805	208.82370214519537	387.349666722161	152.304895	152.304895	6.64579	205.99308177412672	107.11340536200892	195.82800685142237	584.55645	584.55645	15.3429	804.9895222965358	407.9550061930432	765.2659610212659					10.0978;586.328	6.64579;297.964	15.3429;1153.77	2	0	2	553553;107988037	ENSDARG00000039579;ENSDARG00000101892	298.2129	298.2129	407.4562819444805	152.304895	152.304895	205.99308177412672	584.55645	584.55645	804.9895222965358	10.0978;586.328	6.64579;297.964	15.3429;1153.77	0															0						Hill,1(0.5);Linear,1(0.5)	2.123770535542345	4.254312753677368	2.007185697555542	2.247127056121826	0.16966416172933244	2.127156376838684	-266.4926959999999	862.9184959999999	-133.18695079999995	437.79674079999995	-531.1021079999999	1700.2150079999997	UP	1.0	0.0	0.0	
R-DRE-1430728	Metabolism	887	1029	64	54	36	38	38	28	64	14	14	67	1015	3796	0.24699	0.83445	0.49188	1.36	80939;794081;791159;560837;559148;550507;503713;449790;415202;402880;394009;393528;323424;114426	papss2b;ucp3;galns;sin3b;ptgis;bdh2;ppm1k;cyp2k16;psmd4a;cox4i1l;srm;lias;sult1st1;odc1	ENSDARG00000056600;ENSDARG00000091209;ENSDARG00000051853;ENSDARG00000062472;ENSDARG00000060094;ENSDARG00000052696;ENSDARG00000010655;ENSDARG00000102981;ENSDARG00000101295;ENSDARG00000012388;ENSDARG00000055760;ENSDARG00000022845;ENSDARG00000028275;ENSDARG00000007377		337.7484871428572	423.727	2.5724	225.63943161131925	293.20037689166134	224.26694811565073	189.31781157142862	251.9065	0.489452	122.94694902777225	167.55698555591218	124.86206287286413	608.3646714285715	712.8235	11.7894	417.45500183501923	520.7442783181948	405.6157382569407					9.99732;2.5724;416.288;431.166;502.326;10.0183;590.033;536.661;550.548;505.46;366.871;450.371;17.4958;338.671	8.47766;0.489452;250.18;253.633;275.123;7.81885;298.483;285.279;289.061;276.064;227.72;259.093;3.8654;215.162	11.7894;13.5197;692.683;732.964;917.161;12.8366;1166.36;1009.56;1048.58;925.473;591.05;782.863;79.1907;533.075	13	1	13	80939;794081;791159;560837;559148;550507;449790;415202;402880;394009;393528;323424;114426	ENSDARG00000056600;ENSDARG00000091209;ENSDARG00000051853;ENSDARG00000062472;ENSDARG00000060094;ENSDARG00000052696;ENSDARG00000102981;ENSDARG00000101295;ENSDARG00000012388;ENSDARG00000055760;ENSDARG00000022845;ENSDARG00000028275;ENSDARG00000007377	318.34198615384616	416.288	222.35998500865475	180.92048938461542	250.18	123.71797429187644	565.4419538461539	692.683	401.05936371002406	9.99732;2.5724;416.288;431.166;502.326;10.0183;536.661;550.548;505.46;366.871;450.371;17.4958;338.671	8.47766;0.489452;250.18;253.633;275.123;7.81885;285.279;289.061;276.064;227.72;259.093;3.8654;215.162	11.7894;13.5197;692.683;732.964;917.161;12.8366;1009.56;1048.58;925.473;591.05;782.863;79.1907;533.075	1	503713	ENSDARG00000010655	590.033	590.033		298.483	298.483		1166.36	1166.36		590.033	298.483	1166.36	0						Exp 5,2(0.15);Hill,2(0.15);Linear,10(0.72)	2.282569631586556	37.990384221076965	1.5122684240341187	10.92271900177002	2.419347727066664	1.9750640392303467	219.55132469782183	455.94564958789243	124.91426116987687	253.72136197298028	389.6883686519293	827.0409742052136	UP	0.9285714285714286	0.07142857142857142	0.0	
R-DRE-156580	Phase II - Conjugation of compounds	44	48	7	6	5	3	3	3	7	2	2	79	46	4765	0.95561	0.1883	0.1883	4.17	80939;323424	papss2b;sult1st1	ENSDARG00000056600;ENSDARG00000028275		13.746559999999999	13.746559999999999	9.99732	5.302226056591703	14.729158127380963	5.116893881578442	6.171530000000001	6.171530000000001	3.8654	3.261360322595464	5.567141105318127	3.1473638623092928	45.490050000000004	45.490050000000004	11.7894	47.65991629078884	54.322292156149324	45.99402806707929					9.99732;17.4958	8.47766;3.8654	11.7894;79.1907	2	0	2	80939;323424	ENSDARG00000056600;ENSDARG00000028275	13.746559999999999	13.746559999999999	5.302226056591703	6.171530000000001	6.171530000000001	3.261360322595464	45.490050000000004	45.490050000000004	47.65991629078884	9.99732;17.4958	8.47766;3.8654	11.7894;79.1907	0															0						Exp 5,1(0.5);Hill,1(0.5)	2.477989786671358	5.122280597686768	1.9138333797454834	3.208447217941284	0.9154302240061946	2.561140298843384	6.398049600000001	21.095070399999997	1.6515152000000013	10.691544799999999	-20.563223999999998	111.54332400000001	UP	1.0	0.0	0.0	
R-DRE-211859	Biological oxidations	101	112	10	9	7	5	5	5	10	4	4	77	108	4703	0.96279	0.11376	0.11376	3.57	80939;559148;449790;323424	papss2b;ptgis;cyp2k16;sult1st1	ENSDARG00000056600;ENSDARG00000060094;ENSDARG00000102981;ENSDARG00000028275		266.62003	259.9109	9.99732	292.3454161507233	184.32564227762646	272.10447490860594	143.186265	141.80033	3.8654	158.27650811963505	98.54120924457831	149.0989724547712	504.42527499999994	498.17584999999997	11.7894	531.9857197972352	357.2436261933436	487.36000618956166					9.99732;502.326;536.661;17.4958	8.47766;275.123;285.279;3.8654	11.7894;917.161;1009.56;79.1907	4	0	4	80939;559148;449790;323424	ENSDARG00000056600;ENSDARG00000060094;ENSDARG00000102981;ENSDARG00000028275	266.62003	259.9109	292.3454161507233	143.186265	141.80033	158.27650811963505	504.42527499999994	498.17584999999997	531.9857197972352	9.99732;502.326;536.661;17.4958	8.47766;275.123;285.279;3.8654	11.7894;917.161;1009.56;79.1907	0															0						Exp 5,1(0.25);Hill,1(0.25);Linear,2(0.5)	3.570342984861097	18.46775722503662	1.9138333797454834	10.92271900177002	4.237449013614724	2.815602421760559	-19.878477827708878	553.1185378277089	-11.924712957242349	298.29724295724236	-16.920730401290598	1025.7712804012904	UP	1.0	0.0	0.0	
